Document,Type,Description
HJR F of 2019,House Joint Resolution,"School aid: other; distributions from state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 02/28/2019"
HJR G of 2019,House Joint Resolution,"Individual income tax: rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 04/18/2019"
SJR G of 2019,Senate Joint Resolution,"Criminal procedure: warrants; search and seizure protections; expand to include search and seizure of electronic communications and data. Amends sec. 11, art. I to the state constitution.Last Action: FILED WITH SECRETARY OF STATE 06/30/2020 11:00 AM"
SJR H of 2019,Senate Joint Resolution,"Legislature: rules; passage of bills introduced during regular session held after November election in an even-numbered year; require a 2/3 vote in both houses. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR H of 2019,House Joint Resolution,"Legislature: legislators; term limits; revise to combination of 14 years total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 05/15/2019"
HJR I of 2019,House Joint Resolution,"Constitutional amendments: state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 05/23/2019"
SJR I of 2019,Senate Joint Resolution,"Children; other; consideration of best interests of the child in all parental termination cases, child custody cases, and out-of-home placement cases; require. Amends sec. 28, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND VETERANS"
SJR J of 2019,Senate Joint Resolution,"Courts; judges; gubernatorial appointment of supreme court justice; amend constitution to require advice and consent of the senate. Amends sec. 23, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE ON ADVICE AND CONSENT"
HJR J of 2019,House Joint Resolution,"Civil rights: other; right to education and literacy; provide for. Amends sec. 2, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 05/24/2019"
HJR K of 2019,House Joint Resolution,"Constitutional amendments: state; state board of education, superintendent of public instruction, and state board for public community and junior colleges; eliminate, and provide for a governor-appointed department director. Amends secs. 3 & 7, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 06/11/2019"
SJR K of 2019,Senate Joint Resolution,"Civil procedure: other; involuntary servitude for the punishment of crime; prohibit. Amends sec. 9, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SJR L of 2019,Senate Joint Resolution,Legislature: other; application for a convention of the states under article V of the United States Constitution; provide for. Petitions Congress to propose amendments to the Constitution of the United States.Last Action: REFERRED TO COMMITTEE OF THE WHOLE
HJR L of 2019,House Joint Resolution,"Legislature: rules; passage of bills introduced during regular session held after November election in an even-numbered year; require a 2/3 vote in both houses. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 06/18/2019"
HJR M of 2019,House Joint Resolution,"Legislature: sessions; unicameral nonpartisan legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54 art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 3, 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI, sec. 1 & 3, art. XII, adds sec. 1a to art. IV, & repeals secs. 2, 3 & 21 of art. IV of the state constitution.Last Action: joint resolution electronically reproduced 06/20/2019"
HJR N of 2019,House Joint Resolution,"Legislature: legislators; salary for legislators; modify. Amends sec. 12, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 09/19/2019"
HJR O of 2019,House Joint Resolution,"Courts: judges; age limit for election of or appointment to a judicial office; eliminate. Amends sec. 19, art. VI of the state constitution.Last Action: joint resolution electronically reproduced 10/17/2019"
HJR P of 2019,House Joint Resolution,"Legislature: other; power of the people to propose a law to the legislature; eliminate. Amends sec. 9, art. II of the state constitution.Last Action: joint resolution electronically reproduced 12/19/2019"
SJR M of 2020,Senate Joint Resolution,"Elections; candidates; candidate eligibility; modify to require any outstanding campaign statement, report, fee, or fine be filed or paid. Amends the state constitution by adding sec. 9 to art. XI.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SJR N of 2020,Senate Joint Resolution,"Constitutional amendments; state; state board of education; eliminate and provide for a governor-appointed state superintendent. Amends secs. 3 & 17, art. VIII of the state constitutionLast Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR O of 2020,Senate Joint Resolution,"Legislature: sessions; legislature to conduct session and committee meetings remotely; allow during certain state of emergency declarations. Amends secs. 13, 14, 17, 20 & 21, art. IV of the state constitutionLast Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR P of 2020,Senate Joint Resolution,"Legislature: legislators; term limits; modify to combination of 24 years total legislative service, and revise Senate terms to 6 years. Amends secs. 2 & 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR Q of 2020,Senate Joint Resolution,Public employees and officers: other; certain state employee communications with members of the legislature; protect under certain circumstances. Amends the state constitution by adding sec. 9 to art. XI.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT
HJR Q of 2020,House Joint Resolution,Natural resources: other; natural resources commission and Upper Peninsula natural resources commission; create. Amends the state constitution by adding sec. 31 to art. V.Last Action: joint resolution electronically reproduced 03/05/2020
HJR R of 2020,House Joint Resolution,"Elections: primary; voting age at primary election; revise to 17 under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: joint resolution electronically reproduced 05/19/2020"
HJR S of 2020,House Joint Resolution,"Individual income tax: rate; graduated income tax and exclusion of retirement and pension benefits; allow and provide for. Amends sec. 7, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 07/23/2020"
HJR T of 2020,House Joint Resolution,"Civil rights: sexual orientation discrimination; certain references to marriage; make gender neutral. Amends sec. 1, art. X & repeals sec. 25, art. I of the state constitution.Last Action: joint resolution electronically reproduced 08/06/2020"
HJR U of 2020,House Joint Resolution,"Courts: judges; election or appointment as judge in any judicial office or appointment as visiting judge appointed to trial court for person who has reached 75 years of age; prohibit. Amends secs. 4 & 19, art. VI of the state constitution.Last Action: joint resolution electronically reproduced 09/03/2020"
HJR V of 2020,House Joint Resolution,"Public employees and officers: state; number of members of the civil service commission; increase. Amends sec. 5, art. XI of the state constitution.Last Action: joint resolution electronically reproduced 09/03/2020"
