Document,Type,Description
SR 0024 of 2005,Senate Resolution,A resolution to urge the state's colleges and universities to implement procedures and programs to make textbooks more affordable.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SR 0025 of 2005,Senate Resolution,"A resolution to urge the United States Coast Guard to immediately eliminate the ""No Ballast on Board"" (NOBOB) exemption from regulations on ballast water management and require all ships with ballast tanks that enter the Great Lakes to conform to all regulations for ballast water management in federal law.
Last Action: ADOPTED"
HR 0025 of 2005,House Resolution,A resolution honoring the 150th anniversary of the Public Museum of Grand Rapids and the 10th anniversary of the Van Andel Museum Center.Last Action: adopted
HR 0026 of 2005,House Resolution,"A resolution honoring the 75th anniversary of Cub Scouting on February 24, 2005.Last Action: adopted"
SR 0026 of 2005,Senate Resolution,"A resolution in support of the Wayne State University College of Urban, Labor and Metropolitan Affairs (CULMA).Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0027 of 2005,Senate Resolution,"A resolution recognizing the week of April 25, 2005, as Beta Sigma Phi International Week.Last Action: ADOPTED"
HR 0027 of 2005,House Resolution,"A resolution to encourage Governor Jennifer Granholm to reconsider the proposal to close the State Police post in Groveland Township.

Last Action: referred to Committee on Appropriations"
HR 0028 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to refrain from making cuts to the Community Oriented Policing Services program.

Last Action: referred to Committee on Appropriations"
SR 0028 of 2005,Senate Resolution,"A resolution offered as a memorial for the Honorable Joseph S. Mack.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
SR 0029 of 2005,Senate Resolution,A resolution to urge President Bush and the United States Congress to reverse proposed budget cuts to federal funding for anti-methamphetamine programs.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
HR 0029 of 2005,House Resolution,"A resolution recognizing March 2, 2005, as ""Reps. Read Across Michigan Day.""Last Action: adopted"
HR 0030 of 2005,House Resolution,"A resolution to memorialize Congress to enact legislation allowing the Department of Commerce (DOC) to help shield children by establishing and requiring the .xxx domain name for adult-only web sites.

Last Action: adopted"
SR 0030 of 2005,Senate Resolution,A resolution to memorialize the Congress of the United States to refrain from making cuts to the Medicaid budget and to address the issue of the increasing number of uninsured in America.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SR 0031 of 2005,Senate Resolution,A resolution commemorating Oakland Community College on its 40th Anniversary.Last Action: ADOPTED
HR 0031 of 2005,House Resolution,"A resolution to memorialize Congress to enact highway reauthorization legislation with a level of funding that closes the gap between federal fuel tax dollars paid by Michigan motorists and dollars received to address Michigan’s transportation needs.

Last Action: adopted"
HR 0032 of 2005,House Resolution,"A resolution commemorating May 2005 as Motorcycle Safety Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0032 of 2005,Senate Resolution,"A resolution to urge the Video Software Dealers Association and the Entertainment Software Ratings Board to increase efforts to enforce compliance with ratings systems for violent video games.
Last Action: ADOPTED"
SR 0033 of 2005,Senate Resolution,"A resolution to memorialize the Congress of the United States to review the sale of violent video games to children. 
Last Action: ADOPTED"
HR 0033 of 2005,House Resolution,"A resolution to memorialize the United States Congress to enact legislation to provide that Michigan will receive a minimum of 95 percent of transportation funds it sends to the federal government.

Last Action: referred to Committee on Transportation"
HR 0034 of 2005,House Resolution,A resolution commemorating the life of Max Fisher.Last Action: adopted
SR 0034 of 2005,Senate Resolution,A resolution commemorating the Thirty-fifth Anniversary of the Michigan State Police State Capitol Post.Last Action: ADOPTED
SR 0035 of 2005,Senate Resolution,"A resolution to memorialize the Congress of the United States and the United States Department of Agriculture (USDA) to provide assistance, including additional emergency funding, in the effort to mitigate the infestation of the Emerald Ash Borer.
Last Action: ADOPTED"
HR 0035 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to adopt and submit to the states for ratification a proposed amendment to the Constitution of the United States to require a federal balanced budget.
Last Action: referred to Committee on Government Operations"
HR 0036 of 2005,House Resolution,"A resolution recognizing March 16th, 2005, as Liberty Day in the state of Michigan.Last Action: adopted"
SR 0036 of 2005,Senate Resolution,"A resolution memorializing the United States Congress to pass H.R. 2353, the Common Sense Indian Gambling Reform Act.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0037 of 2005,Senate Resolution,"A resolution commemorating the 1462nd Transportation Company, Michigan Army National Guard based in Howell, Michigan.Last Action: ADOPTED"
HR 0037 of 2005,House Resolution,A resolution honoring National Kidney Foundation of Michigan upon the occasion of its 50th anniversary.Last Action: adopted
HR 0038 of 2005,House Resolution,A resolution recognizing March 2005 as American Red Cross Month in the state of Michigan.Last Action: adopted
SR 0038 of 2005,Senate Resolution,"A resolution commemorating June 4-12, 2005, as Aquatic Invasive Species Awareness Week in Michigan.Last Action: ADOPTED"
SR 0039 of 2005,Senate Resolution,"A resolution commemorating June 8, 2005, as Michigan Trailways Day and June 2005 as Michigan Trailways Month.Last Action: ADOPTED"
HR 0039 of 2005,House Resolution,"A resolution recognizing the week of March 28 through April 3, 2005, as National Community Development Week in the state of Michigan.Last Action: adopted"
HR 0040 of 2005,House Resolution,A resolution commemorating April 2005 as Raise the Flags and Dig Safely Month in the state of Michigan.Last Action: adopted
SR 0040 of 2005,Senate Resolution,"A resolution to urge the United States Coast Guard to continue to operate a cutter ship out of Charlevoix.
Last Action: ADOPTED"
SR 0041 of 2005,Senate Resolution,"A resolution to recognize July 9, 2005, as Child Passenger Safety Day.Last Action: ADOPTED"
HR 0041 of 2005,House Resolution,"A resolution to honor the Tuskegee Airmen for the bravery in fighting for our freedom in World War II, and for their contribution in creating an integrated United States Air Force.Last Action: adopted"
HR 0042 of 2005,House Resolution,A resolution recognizing April 2005 as Child Abuse Prevention Month in the state of Michigan.Last Action: adopted
SR 0042 of 2005,Senate Resolution,"A resolution to commemorate the 125th Anniversary of the founding of Wolverine, Michigan, and its important place in Michigan's history.Last Action: ADOPTED"
SR 0043 of 2005,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact H.R. 593 to provide the states with authority to regulate the flow and importation of solid waste from outside the country.
Last Action: ADOPTED"
HR 0043 of 2005,House Resolution,A resolution to establish April as Youth Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0044 of 2005,House Resolution,A resolution honoring Frederik Meijer Gardens & Sculpture Park for ten years of operations.Last Action: adopted
SR 0044 of 2005,Senate Resolution,"A resolution honoring the 150th Anniversary of the Soo Locks in Sault Sainte Marie, Michigan.Last Action: ADOPTED"
SR 0045 of 2005,Senate Resolution,A resolution of tribute for Robert Brent Nelson upon the completion of his term on the Michigan Public Service Commission.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS
HR 0045 of 2005,House Resolution,"A resolution commemorating April 10-16, 2005, as Crime Victims' Rights Week.Last Action: adopted"
HR 0046 of 2005,House Resolution,A resolution recognizing April 2005 as Donate Life Month in the state of Michigan.Last Action: adopted
SR 0046 of 2005,Senate Resolution,A resolution to urge the Legislature to establish a task force to study the effects of Proposal A on schools and local governments.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0047 of 2005,Senate Resolution,A resolution commemorating the 23rd Annual Metro Detroit Youth Day.Last Action: ADOPTED
HR 0047 of 2005,House Resolution,"A resolution commemorating April 24, 2005, as Michigan's Day of Remembrance of the Armenian Genocide of 1915-1923.
Last Action: adopted"
HR 0048 of 2005,House Resolution,"A resolution honoring the life and contributions to the world of The Holy Father, Pope John Paul II.Last Action: adopted"
SR 0048 of 2005,Senate Resolution,"A resolution to urge the Michigan Department of Agriculture and the Michigan Department of Environmental Quality to continue participating in the Michigan Agriculture Environmental Assurance Program and promote all of Michigan agriculture's efforts to obtain verification under the program.
Last Action: ADOPTED"
SR 0049 of 2005,Senate Resolution,"A resolution to express support for policies that encourage Michigan small businesses to expand in foreign markets.
Last Action: REFERRED TO COMMITTEE ON COMMERCE AND LABOR"
HR 0049 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to enact the Native Hawaiian Government Reorganization Act.

Last Action: referred to Committee on Government Operations"
HR 0050 of 2005,House Resolution,"A resolution of tribute offered as a memorial for Allison Green, former Speaker of the House of Representatives.

Last Action: adopted by unanimous standing vote"
SR 0050 of 2005,Senate Resolution,"A resolution commemorating Saturday, September 17, 2005, as Reflex Sympathetic Dystrophy Syndrome Awareness Day in the state of Michigan.Last Action: ADOPTED"
SR 0051 of 2005,Senate Resolution,"A resolution recognizing Friday, September 16, 2005, as National POW/MIA Recognition Day in Michigan.Last Action: ADOPTED"
HR 0051 of 2005,House Resolution,"A resolution to memorialize the United States Congress and the President of the United States to reauthorize the Voting Rights Act of 1965.

Last Action: referred to Committee on Government Operations"
HR 0052 of 2005,House Resolution,A resolution declaring April as Autism Awareness Month in the state of Michigan.Last Action: adopted
SR 0052 of 2005,Senate Resolution,"A resolution of tribute offered as a memorial for N. Lorraine Beebe, former member of the Michigan Senate.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
SR 0053 of 2005,Senate Resolution,"A resolution offered as a memorial for Beryl Kenyon, former Secretary of the Senate.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
HR 0053 of 2005,House Resolution,"A resolution to urge the United States Coast Guard to immediately eliminate the ""No Ballast on Board"" (NOBOB) exemption from regulations on ballast water management and require all ships with ballast tanks that enter the Great Lakes to conform to all regulations for ballast water management in federal law.
Last Action: re-referred to Committee on Natural Resources, Great Lakes, Land Use, and Environment"
HR 0054 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States and the State Department to increase efforts to halt the violence and to provide humanitarian assistance in the Darfur region of Sudan.
Last Action: referred to Committee on Government Operations"
SR 0054 of 2005,Senate Resolution,A resolution commemorating September 2005 as Children's Internet Safety Month.Last Action: ADOPTED
SR 0055 of 2005,Senate Resolution,"A resolution observing September 19-25, 2005, as Pollution Prevention Week.Last Action: ADOPTED"
HR 0055 of 2005,House Resolution,A resolution to clarify the interests of the House of Representatives in the matter before the Michigan Supreme Court concerning the constitutionality of Section 523 of Public Act 71 of 2005.Last Action: notice of intent withdrawn
HR 0056 of 2005,House Resolution,"A resolution to memorialize the United States Congress to validate the requirement for Selfridge Air National Guard Base during the current round of the Base Realignment and Closure process.
Last Action: referred to Committee on Government Operations"
SR 0056 of 2005,Senate Resolution,A resolution honoring the Michigan Community Blood Centers.Last Action: ADOPTED
SR 0057 of 2005,Senate Resolution,"A resolution to express opposition to the study and construction of an international border crossing in the Downriver area.
Last Action: ADOPTED"
HR 0057 of 2005,House Resolution,"A resolution recognizing April 25, 2005, as Red Hat Society Day and the week of April 25, 2005, as Red Hat Society Week in the state of Michigan.
Last Action: adopted"
HR 0058 of 2005,House Resolution,"A resolution recognizing April 28, 2005, as Workers Memorial Day in the state of Michigan.
Last Action: adopted"
SR 0058 of 2005,Senate Resolution,A resolution designating September 2005 as Life Insurance Awareness Month in Michigan.Last Action: ADOPTED
SR 0059 of 2005,Senate Resolution,"A resolution recognizing and commending the Republic of Macedonia and the Macedonian people upon the occasion of Prime Minister Lade Buchkovski's official visit to the United States of America and the great state of Michigan.Last Action: REFERRED TO COMMITTEE ON LOCAL, URBAN AND STATE AFFAIRS"
HR 0059 of 2005,House Resolution,"A resolution urging Wayne State University to reconsider the closing of its College of Urban, Labor, and Metropolitan Affairs.
Last Action: referred to Committee on Government Operations"
HR 0060 of 2005,House Resolution,"A resolution to memorialize the Congress and the President of the United States to refrain from making cuts to Medicaid.
Last Action: referred to Committee on Appropriations"
SR 0060 of 2005,Senate Resolution,"A resolution recognizing September 21, 2005, as the International Day of Peace.Last Action: ADOPTED"
SR 0061 of 2005,Senate Resolution,"A resolution to memorialize the President of the United States and the United States Congress to take prompt action to provide relief from high gas prices and to call on the Governor of the State of Michigan to investigate potential effects of state government policies that may add to the price of gasoline in Michigan.
Last Action:  ROLL CALL # 264 YEAS 34 NAYS 3 EXCUSED 1 NOT VOTING 0"
HR 0061 of 2005,House Resolution,"A resolution recognizing May 3, 2005, as Teacher Appreciation Day in the state of Michigan.Last Action: adopted"
HR 0062 of 2005,House Resolution,"A resolution recognizing May 1-7, 2005, as Teacher Appreciation Week in the state of Michigan.Last Action: adopted"
SR 0062 of 2005,Senate Resolution,A resolution commemorating September 2005 as Prostate Cancer Awareness Month in Michigan.Last Action: ADOPTED
SR 0063 of 2005,Senate Resolution,"A resolution memorializing and honoring the life of Teddy Harris Jr.Last Action: REFERRED TO COMMITTEE ON LOCAL, URBAN AND STATE AFFAIRS"
HR 0063 of 2005,House Resolution,A resolution proclaiming May 2005 as Hepatitis Awareness Month in the state of Michigan.Last Action: adopted
HR 0064 of 2005,House Resolution,"A resolution honoring Food Allergy Awareness Week May 8-14, 2005.Last Action: adopted"
SR 0064 of 2005,Senate Resolution,"A resolution to call for the POW/MIA flag to be flown over the Capitol on certain holidays.
Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS"
SR 0065 of 2005,Senate Resolution,"A resolution to express our strong disappointment with the September 14, 2005, federal District Court ruling that reciting the Pledge of Allegiance in a public school is unconstitutional.
Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
HR 0065 of 2005,House Resolution,A resolution honoring the Michigan Military Moms and all mothers of armed services personnel.Last Action: adopted
HR 0066 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to provide for additional food inspectors to protect the country's food supply.

Last Action: referred to Committee on Government Operations"
SR 0066 of 2005,Senate Resolution,"A resolution to express support for the efforts of the Department of History, Arts, and Libraries, the State Historic Preservation Office, and Presque Isle Township to reinstall the historic Fresnel Lens in the Presque Isle Lighthouse Tower.Last Action: ADOPTED"
SR 0067 of 2005,Senate Resolution,"A resolution recognizing September 26-30, 2005, as Michigan Antibiotic Resistance Awareness Week.Last Action: ADOPTED"
HR 0067 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to provide incentives for the construction of new petroleum refineries in the United States and to urge the leaders of the petroleum industry to construct new refineries to meet our increasing energy needs.
Last Action: adopted"
HR 0068 of 2005,House Resolution,"A resolution recognizing the week of May 6-12, 2005, as National Nurses' Week in the state of Michigan.Last Action: adopted"
SR 0068 of 2005,Senate Resolution,"A resolution to urge the Michigan Supreme Court to take whatever steps are necessary to maintain the status quo, with regard to same-sex benefits, that was in place prior to the September 28, 2005, 30th Circuit Court ruling in order to prevent the spending of taxpayer monies to fund benefits for homosexual unions until the court has reached a final adjudication.Last Action: ADOPTED AS SUBSTITUTED S-2"
SR 0069 of 2005,Senate Resolution,A resolution to urge the Federal Emergency Management Agency to reject proposed revisions to floodplain elevation thresholds in St. Clair County.Last Action: ADOPTED AS SUBSTITUTED S-1
HR 0069 of 2005,House Resolution,"A resolution commemorating May 22 through May 28, 2005, as Regional Emerald Ash Borer Awareness Week in the state of Michigan.Last Action: adopted"
HR 0070 of 2005,House Resolution,"A resolution marking the 60th anniversary of the end of the Holocaust and declaring May 4, 2005, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted"
SR 0070 of 2005,Senate Resolution,A resolution to memorialize the Congress of the United States to refrain from paying for hurricane relief by cutting benefits to U.S. military service personnel and rather consider reinstating the estate tax.Last Action: REFERRED TO COMMITTEE ON FINANCE
SR 0071 of 2005,Senate Resolution,"A resolution to memorialize the President and the Congress of the United States to increase funding for home heating assistance to cope with the rise in natural gas costs expected this winter.
Last Action: PLACED ON ORDER OF RESOLUTIONS"
HR 0071 of 2005,House Resolution,A resolution declaring May 2005 as Asian Pacific American Heritage Month in the state of Michigan.Last Action: adopted
HR 0072 of 2005,House Resolution,"A resolution recognizing May 4, 2005, as Aces With-a-Friend at the Capitol Day.Last Action: adopted"
SR 0072 of 2005,Senate Resolution,"A resolution to memorialize the United States Congress and the United States Department of Health and Human Services to take steps to improve access to fertility preservation options for cancer patients.
Last Action: ADOPTED"
SR 0073 of 2005,Senate Resolution,A resolution commending Congressman John Dingell for his achievements on the occasion of his fiftieth year of service in the United States House of Representatives.Last Action: ADOPTED
HR 0073 of 2005,House Resolution,"A resolution to memorialize the United States Congress to oppose the continuation of all provisions of the USA PATRIOT Act which infringe upon individuals’ civil liberties and which are set to expire in 2005.
Last Action: referred to Committee on Government Operations"
HR 0074 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to fully fund education program mandates.
Last Action: referred to Committee on Education"
SR 0074 of 2005,Senate Resolution,"A resolution to recognize September 15, 2005, through October 15, 2005, as Hispanic Heritage Month.Last Action: ADOPTED"
SR 0075 of 2005,Senate Resolution,"A resolution recognizing October 12-20, 2005, as United States Bone and Joint Decade National Awareness Week.Last Action: ADOPTED"
HR 0075 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States and the United States Department of Health and Human Services to move forward with the creation of a national cord blood stem cell bank.
Last Action: adopted"
HR 0076 of 2005,House Resolution,"A resolution memorializing the United States Congress to pass H.R. 2353, the Common Sense Indian Gambling Reform Act.
Last Action: referred to Committee on Commerce"
SR 0076 of 2005,Senate Resolution,"A resolution commemorating October 21, 2005, as Biomedical Research Day.Last Action: ADOPTED"
SR 0077 of 2005,Senate Resolution,"A resolution to urge the Michigan Department of Natural Resources to increase efforts to provide notification and public education on rip currents in the Great Lakes.
Last Action: ADOPTED"
HR 0077 of 2005,House Resolution,"A resolution commemorating May 24, 2005, as Propane Awareness Day in Michigan.Last Action: adopted"
HR 0078 of 2005,House Resolution,"A resolution recognizing May 25, 2005, as VSA Day 2005 in the state of Michigan.Last Action: adopted"
SR 0078 of 2005,Senate Resolution,"A resolution to urge the Michigan Department of Education to provide information to help educate students about the dangers of rip currents and basic pier safety.
Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0079 of 2005,Senate Resolution,"A resolution memorializing the life of Rosa Louise Parks by declaring December 1, 2005, as Rosa Parks Day.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
HR 0079 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States and the United States Department of Agriculture (USDA) to provide assistance in the effort to mitigate the infestation of the Emerald Ash Borer.
Last Action: laid over one day under the rules"
HR 0080 of 2005,House Resolution,"A resolution to support the Community Development Block Grant program.
Last Action: referred to Committee on Government Operations"
SR 0080 of 2005,Senate Resolution,"A resolution to memorialize the United States Forest Service to make it mandatory that trees and groundcover removed through logging be replanted during the same growing season.
Last Action: REFERRED TO COMMITTEE ON AGRICULTURE, FORESTRY AND TOURISM"
SR 0081 of 2005,Senate Resolution,"A resolution to memorialize the President and the Congress of the United States not to enact S363, the United States Senate's proposed Ballast Water Management Act of 2005.
Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
HR 0081 of 2005,House Resolution,"A resolution designating June 25, 2005, as Tuberous Sclerosis Awareness Day in the state of Michigan.Last Action: adopted"
HR 0082 of 2005,House Resolution,"A resolution to express support for the Republic of China on Taiwan’s participation in the World Health Organization and the World Health Assembly.
Last Action: adopted"
SR 0082 of 2005,Senate Resolution,"A resolution to memorialize the President and the Congress of the United States not to enact the Ballast Water Management Act of 2005.
Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
SR 0083 of 2005,Senate Resolution,"A resolution to urge the Governor to seek agreements with local governments to house county jail inmates in the Baldwin Youth Correctional Facility.
Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HR 0083 of 2005,House Resolution,"A resolution commemorating June 4-12, 2005, as Aquatic Invasive Species Awareness Week in the state of Michigan.Last Action: adopted"
HR 0084 of 2005,House Resolution,"A resolution to express the deep concern of the Michigan House of Representatives about the lack of free speech and human rights in the People's Republic of China.
Last Action: referred to Committee on Government Operations"
SR 0084 of 2005,Senate Resolution,A resolution to urge the Great Lakes Regional Collaboration and the United States Congress to implement the Action Plan to Restore and Protect the Great Lakes.Last Action: ADOPTED AS SUBSTITUTED S-3
SR 0085 of 2005,Senate Resolution,A resolution memorializing the life of Bertha A. Daubendiek.Last Action: ADOPTED
