Document,Type,Description
HR 0115 of 2023,House Resolution,"A resolution to condemn the practice of abortion and to recognize the sanctity of life, prior to birth.Last Action: referred to Committee on Government Operations"
HR 0116 of 2023,House Resolution,A resolution to declare June 2023 as Dairy Month in the state of Michigan.Last Action: adopted
HR 0117 of 2023,House Resolution,"A resolution to declare June 3-11, 2023, as Great Lakes and Fresh Water Week in the state of Michigan.Last Action: adopted"
HR 0118 of 2023,House Resolution,"A resolution to declare June 2023 as Lesbian, Gay, Bisexual, Transgender, and Queer (LGBTQ+) Pride Month in the state of Michigan.Last Action: adopted"
HR 0119 of 2023,House Resolution,A resolution to urge the United States Food and Drug Administration to facilitate FDA regulated research on hyperbaric oxygen therapy for the treatment of Traumatic Brain Injury and Post Traumatic Stress Disorder.Last Action: adopted
HR 0120 of 2023,House Resolution,"A resolution to declare June 17, 2023, as Black Men Awareness Day in the state of Michigan.Last Action: adopted"
HR 0121 of 2023,House Resolution,"A resolution to declare June 15, 2023, as William DeHart Hubbard Day in the state of Michigan.Last Action: adopted"
HR 0122 of 2023,House Resolution,"A resolution to declare June 19-25, 2023, as Pollinators Week in the state of Michigan.Last Action: adopted"
HR 0123 of 2023,House Resolution,A resolution to urge the United States Congress to enact legislation that would ensure abortion is affordable and available for anyone who needs it and to support the President of the United States’ efforts to protect abortion access across the country.Last Action: adopted
HR 0124 of 2023,House Resolution,A resolution to declare July 2023 as Cleft and Craniofacial Awareness Month in the state of Michigan.Last Action: adopted
HR 0125 of 2023,House Resolution,"A resolution to declare June 27, 2023, as Post-Traumatic Stress Disorder Awareness Day in the state of Michigan.Last Action: adopted"
HR 0126 of 2023,House Resolution,A resolution to declare June 2023 as Aphasia Awareness Month in the state of Michigan.Last Action: adopted
HR 0127 of 2023,House Resolution,A resolution to urge Congress to pass legislation and urge the United States Department of Agriculture to promulgate rules and implement more thorough security measures that would reduce the amount of fraud in the Supplemental Nutrition Assistance Program.Last Action: referred to Committee on Agriculture
HR 0128 of 2023,House Resolution,"A resolution to reaffirm the state of Michigan’s commitment to upholding the Article I, Section 6 right to self-defense.Last Action: referred to Committee on Government Operations"
HR 0129 of 2023,House Resolution,A resolution to declare September 2023 as Deaf Awareness Month in the state of Michigan.Last Action: adopted
HR 0130 of 2023,House Resolution,"A resolution to declare August 6-12, 2023, as National Health Center Week in the state of Michigan.Last Action: adopted"
HR 0131 of 2023,House Resolution,A resolution to declare September 2023 as Cholesterol Education Month in the state of Michigan.Last Action: adopted
HR 0132 of 2023,House Resolution,"A resolution to declare September 11-17, 2023, as Patriot Week in the state of Michigan.Last Action: adopted"
HR 0133 of 2023,House Resolution,A resolution to declare September 2023 as Ovarian Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0134 of 2023,House Resolution,"A resolution to declare September 15, 2023, as Concussion Awareness Day in the state of Michigan.Last Action: adopted"
HR 0135 of 2023,House Resolution,"A resolution to declare September 17-24, 2023, as Trails Week in the state of Michigan.Last Action: adopted"
HR 0136 of 2023,House Resolution,"A resolution to declare September 22, 2023, as Michigan Indian Day in the state of Michigan.Last Action: adopted"
HR 0137 of 2023,House Resolution,"A resolution to declare September 15-October 15, 2023, as Hispanic Heritage Month in the state of Michigan.Last Action: adopted"
HR 0138 of 2023,House Resolution,A resolution to declare October 2023 as Taxpayer Appreciation Month in the state of Michigan.Last Action: referred to Committee on Government Operations
HR 0139 of 2023,House Resolution,"A resolution to declare October 1-7, 2023, as Banned Books Week in the state of Michigan.Last Action: referred to Committee on Government Operations"
HR 0140 of 2023,House Resolution,A resolution to declare September 2023 as Life Insurance Awareness Month in the state of Michigan.Last Action: adopted
HR 0141 of 2023,House Resolution,A resolution to create a House select committee to examine the actions of Representative Angela Witwer of the 76th House District.Last Action: referred to Committee on Government Operations
HR 0142 of 2023,House Resolution,"A resolution to declare October 1-7, 2023, as Homeschool Week in the state of Michigan.Last Action: adopted"
HR 0143 of 2023,House Resolution,A resolution to declare October 2023 as Physical Therapy Month in the state of Michigan.Last Action: adopted
HR 0144 of 2023,House Resolution,A resolution to declare October 2023 as Domestic Violence Awareness Month in the state of Michigan.Last Action: adopted
HR 0145 of 2023,House Resolution,"A resolution to declare October 9, 2023, as Indigenous Peoples’ Day in the state of Michigan.Last Action: adopted"
HR 0146 of 2023,House Resolution,"A resolution to condemn the abhorrent violence perpetrated by Hamas in October 2023, call for the release of all hostages held by Hamas, and support Israel’s right to self-defense.Last Action: motion to discharge committee rejected"
HR 0147 of 2023,House Resolution,A resolution to declare October 2023 as Book Month in the state of Michigan.Last Action: referred to Committee on Government Operations
HR 0148 of 2023,House Resolution,"A resolution to urge Congress to appropriate funds to assist and provide medical aid to the community of Qaraqosh/Bakhdida, Iraq, following a devastating fire at a local wedding.Last Action: adopted"
HR 0149 of 2023,House Resolution,"A resolution to declare October 15, 2023, as Pregnancy and Infant Loss Remembrance Day in the state of Michigan.Last Action: adopted"
HR 0150 of 2023,House Resolution,"A resolution to declare October 13, 2023, as Forging Day in the state of Michigan.Last Action: adopted"
HR 0151 of 2023,House Resolution,A resolution to declare October 2023 as Filipino American History Month in the state of Michigan.Last Action: adopted
HR 0152 of 2023,House Resolution,"A resolution to declare October 16-22, 2023, as Independent Retailers Week in the state of Michigan.Last Action: adopted"
HR 0153 of 2023,House Resolution,A resolution to oppose the designation of additional federal wilderness areas in Michigan’s Upper Peninsula and to urge the United States Congress to declare the entire city of Ann Arbor a wilderness area.Last Action: referred to Committee on Government Operations
HR 0154 of 2023,House Resolution,"A resolution to declare October 23-31, 2023, as Red Ribbon Week in the state of Michigan.Last Action: adopted"
HR 0155 of 2023,House Resolution,A resolution to honor peacemakers who are working to de-escalate the Israeli/Palestinian conflict.Last Action: referred to Committee on Government Operations
HR 0156 of 2023,House Resolution,A resolution to declare October 2023 as Breast Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0157 of 2023,House Resolution,"A resolution to declare October 22-28, 2023, as Attention Deficit Hyperactivity Disorder Awareness Week in Michigan.Last Action: adopted"
HR 0158 of 2023,House Resolution,A resolution to declare October 2023 as Down Syndrome Awareness Month in the state of Michigan.Last Action: adopted
HR 0159 of 2023,House Resolution,A resolution to declare November 2023 as Diabetes Awareness Month in the state of Michigan.Last Action: adopted
HR 0160 of 2023,House Resolution,A resolution to declare November 2023 as Children's Grief Awareness Month in the state of Michigan.Last Action: adopted
HR 0161 of 2023,House Resolution,A resolution to honor Michigan’s veterans.Last Action: adopted
HR 0162 of 2023,House Resolution,A resolution to adopt a restaurant workers bill of rights.Last Action: referred to Committee on Government Operations
HR 0163 of 2023,House Resolution,"A resolution to urge the United States Congress to pass Senate Bill 2777, the Child Care Stabilization Act.Last Action: referred to Committee on Government Operations"
HR 0164 of 2023,House Resolution,A resolution to declare November 2023 as Adoption Awareness Month in the state of Michigan.Last Action: adopted
HR 0165 of 2023,House Resolution,"A resolution directing the impeachment of Dana M. Nessel, Attorney General of the state of Michigan, for corrupt conduct in office.Last Action: referred to Committee on Government Operations"
HR 0166 of 2023,House Resolution,"A resolution to declare November 10, 2023, as Marine Corps Day in the state of Michigan.Last Action: adopted"
HR 0167 of 2023,House Resolution,"A resolution in support of federal legislation, HR 4052, to enable the creation of a National Infrastructure Bank.Last Action: referred to Committee on Government Operations"
HR 0168 of 2023,House Resolution,A resolution to affirm that the State of Michigan recognizes the importance of and commits to promoting the ethical and responsible manufacturing practices in the production of electric vehicles and solar panels.Last Action: referred to Committee on Government Operations
HR 0169 of 2023,House Resolution,A resolution to commemorate the 50th anniversary of hip hop.Last Action: adopted
HR 0170 of 2023,House Resolution,"A resolution to recognize the service and sacrifices of Michigan Veterans on Veterans Day, November 11th, 2023.Last Action: adopted"
SR 0085 of 2024,Senate Resolution,"A resolution to designate January 28-February 3, 2024, as Wetland Conservation Week and to recognize Ducks Unlimited, Inc. on their achievements in habitat conservation.Last Action: ADOPTED"
SR 0086 of 2024,Senate Resolution,"A resolution to recognize January 28-February 3, 2024, as Catholic Schools Week.Last Action: ADOPTED"
SR 0087 of 2024,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
SR 0088 of 2024,Senate Resolution,A resolution to recognize February 2024 as School-Based Health Care Awareness Month.Last Action: ADOPTED
SR 0089 of 2024,Senate Resolution,"A resolution to commemorate February 1, 2024, as Blue Star Mother's Day.Last Action: ADOPTED"
SR 0090 of 2024,Senate Resolution,"A resolution to affirm this chamber’s commitment to supporting an extension of the Affordable Connectivity Program, recognizing that this program provides Michigan citizens statewide with access to affordable broadband services.Last Action: ADOPTED"
SR 0091 of 2024,Senate Resolution,A resolution to support the actions of the Governor of Texas in furtherance of his constitutional right and responsibility to protect the citizens of his state and secure the border.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0092 of 2024,Senate Resolution,A resolution to vehemently oppose the transfer of mail processing operations from the Iron Mountain Processing and Distribution Center to the Green Bay Processing and Distribution Center in Wisconsin.Last Action: ADOPTED AS AMENDED
SR 0093 of 2024,Senate Resolution,"A resolution to recognize February 11, 2024, as the United Auto Workers' (UAW) White Shirt Day.Last Action: ADOPTED"
SR 0094 of 2024,Senate Resolution,"A resolution to recognize February 2024 as American Heart Month and February 7, 2024, as “National Wear Red Day”.Last Action: ADOPTED"
SR 0095 of 2024,Senate Resolution,"A resolution to designate February 15, 2024, as Angelman Syndrome Awareness Day.Last Action: ADOPTED"
SR 0096 of 2024,Senate Resolution,"A resolution to commemorate February 11-17, 2024, as Michigan 2-1-1 Week.Last Action: ADOPTED"
SR 0097 of 2024,Senate Resolution,A resolution to commemorate the 100th anniversary of the founding of Junior Chamber International (JCI) Michigan.Last Action: ADOPTED
SR 0098 of 2024,Senate Resolution,"A resolution to denounce the open-borders policies of the Biden Administration, condemn the resulting national security and public safety crisis, and urge the President to end his Administration’s open-borders policies.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0099 of 2024,Senate Resolution,"A resolution to recognize March 3-9, 2024, as School Social Work Week.Last Action: ADOPTED"
SR 0100 of 2024,Senate Resolution,A resolution to recognize and commend the National Conference of State Legislatures (NCSL) on its upcoming 50th Anniversary.Last Action: ADOPTED
SR 0101 of 2024,Senate Resolution,"A resolution to designate March 12, 2024, as Equal Pay Day.Last Action: ADOPTED"
SR 0102 of 2024,Senate Resolution,A resolution to designate April 2024 as Financial Literacy Month.Last Action: ADOPTED
SR 0103 of 2024,Senate Resolution,"A resolution to recognize March 17, 2024, as Saint Patrick’s Day.Last Action: ADOPTED"
SR 0104 of 2024,Senate Resolution,A resolution to recognize March 2024 as Bleeding Disorders Awareness Month.Last Action: ADOPTED
SR 0105 of 2024,Senate Resolution,A resolution to recognize April 2024 as County Government Month.Last Action: ADOPTED
SR 0106 of 2024,Senate Resolution,"A resolution to designate April 11, 2024, as Living Donor Day.Last Action: ADOPTED"
SR 0107 of 2024,Senate Resolution,"A resolution to commemorate April 11-17, 2024, as Black Maternal Health Week.Last Action: ADOPTED"
SR 0108 of 2024,Senate Resolution,A resolution to recognize April 2024 as National Donate Life Month.Last Action: ADOPTED
SR 0109 of 2024,Senate Resolution,A resolution to recognize April 2024 as Autism Acceptance Month.Last Action: ADOPTED
SR 0110 of 2024,Senate Resolution,"A resolution to commemorate April 21-27, 2024, as Black April Memorial Week.Last Action: ADOPTED"
SR 0111 of 2024,Senate Resolution,"A resolution to recognize April 28, 2024, as Workers’ Memorial Day.Last Action: ADOPTED"
SR 0112 of 2024,Senate Resolution,A resolution to designate April 2024 as Community College Month.Last Action: ADOPTED
SR 0113 of 2024,Senate Resolution,"A resolution to recognize April 29, 2024, as End Jew-Hatred Day.Last Action: ADOPTED"
SR 0114 of 2024,Senate Resolution,A resolution to recognize May 2024 as Treatment Court Month.Last Action: ADOPTED
SR 0115 of 2024,Senate Resolution,"A resolution to recognize May 1, 2024, as Older Michiganians Day.Last Action: ADOPTED"
SR 0116 of 2024,Senate Resolution,"A resolution to recognize May 5-6, 2024, as Holocaust Remembrance Day.Last Action: ADOPTED"
SR 0117 of 2024,Senate Resolution,"A resolution to designate May 5-11, 2024, as Tardive Dyskinesia Awareness Week.Last Action: ADOPTED"
SR 0118 of 2024,Senate Resolution,"A resolution to recognize May 5-12, 2024, as Correctional Officers Week.Last Action: ADOPTED"
SR 0119 of 2024,Senate Resolution,"A resolution to recognize May 12-18, 2024, as Police Week.Last Action: ADOPTED"
SR 0120 of 2024,Senate Resolution,A resolution to recognize May 2024 as Mental Health Awareness Month.Last Action: ADOPTED
SR 0121 of 2024,Senate Resolution,"A resolution to commemorate May 22, 2024, as Cherry Industry Day.Last Action: ADOPTED"
SR 0122 of 2024,Senate Resolution,A resolution to urge Congress to fund the construction of a new air traffic control tower for the Gerald R. Ford International Airport.Last Action: ADOPTED
SR 0123 of 2024,Senate Resolution,A resolution to commemorate the 80th anniversary of D-Day.Last Action: ADOPTED
SR 0124 of 2024,Senate Resolution,A resolution to designate May 2024 as Ehlers-Danlos Syndrome (EDS) Awareness Month.Last Action: ADOPTED
SR 0125 of 2024,Senate Resolution,A resolution to commemorate the 125th anniversary of the founding of the Michigan Municipal League.Last Action: ADOPTED
SR 0126 of 2024,Senate Resolution,"A resolution to recognize June 2024 as Lesbian, Gay, Bisexual, Transgender, Queer+ (LGBTQ+) Pride Month.Last Action: ADOPTED"
SR 0127 of 2024,Senate Resolution,"A resolution to recognize June 10, 2024, as Alcoholics Anonymous Day.Last Action: ADOPTED"
SR 0128 of 2024,Senate Resolution,A resolution to commemorate June 2024 as Gun Violence Awareness Month.Last Action: ADOPTED
SR 0129 of 2024,Senate Resolution,"A resolution to reaffirm our commitment to strengthening the ties between the state of Michigan and Taiwan, and to continue our support for Taiwan’s participation in international organizations.Last Action: ADOPTED"
SR 0130 of 2024,Senate Resolution,A resolution to urge the United States Congress to enact legislation creating an efficient system to ensure that citizens are not registered to vote in multiple states.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND ETHICS
SR 0131 of 2024,Senate Resolution,A resolution to designate May 2024 as Motorcycle Safety Awareness Month.Last Action: ADOPTED
SR 0132 of 2024,Senate Resolution,"A resolution to commemorate June 12, 2024, as Loving Day.Last Action: ADOPTED"
SR 0133 of 2024,Senate Resolution,"A resolution to recognize June 23-29, 2024, as Grassroots Week.Last Action: ADOPTED"
SR 0134 of 2024,Senate Resolution,A resolution to recognize the 60th anniversary of Freedom Summer.Last Action: ADOPTED
SR 0135 of 2024,Senate Resolution,"A resolution to commemorate June 27, 2024, as Post-Traumatic Stress Injury (PTSI) Awareness Day.Last Action: ADOPTED"
SR 0136 of 2024,Senate Resolution,A resolution to recognize September 2024 as Suicide Prevention Month.Last Action: ADOPTED
SR 0137 of 2024,Senate Resolution,A resolution to designate September 2024 as Childhood Cancer Awareness Month.Last Action: ADOPTED
SR 0138 of 2024,Senate Resolution,"A resolution to recognize September 21, 2024, as Maltese American Heritage Day.Last Action: ADOPTED"
SR 0139 of 2024,Senate Resolution,A resolution to commemorate the 175th anniversary of Eastern Michigan University.Last Action: ADOPTED
SR 0140 of 2024,Senate Resolution,"A resolution to recognize September 26, 2024, as World Contraception Day.Last Action: ADOPTED"
SR 0141 of 2024,Senate Resolution,A resolution to recognize October 2024 as Health Literacy Month.Last Action: ADOPTED
SR 0142 of 2024,Senate Resolution,"A resolution to designate September 15-October 15, 2024, as Hispanic Heritage Month.Last Action: ADOPTED"
SR 0143 of 2024,Senate Resolution,A resolution to recognize October 2024 as Uterine Fibroids Awareness Month.Last Action: ADOPTED
SR 0144 of 2024,Senate Resolution,"A resolution to recognize November 9-16, 2024, as Kindness Week.Last Action: ADOPTED"
SR 0145 of 2024,Senate Resolution,"A resolution to recognize the historic, cultural, and religious significance of the festival of Diwali.Last Action: ADOPTED"
SR 0146 of 2024,Senate Resolution,A resolution of tribute for the Honorable Kristen McDonald Rivet.Last Action: ADOPTED
HR 0171 of 2024,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: referred to Committee on Government Operations
HR 0172 of 2024,House Resolution,"A resolution to declare January 28-February 3, 2024, as Wetland Conservation Week in the state of Michigan.Last Action: adopted"
HR 0173 of 2024,House Resolution,"A resolution of tribute for Clark E. Bisbee, former member of the Michigan House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0174 of 2024,House Resolution,"A resolution of tribute offered as a memorial for Thomas C. Mathieu, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0175 of 2024,House Resolution,"A resolution of tribute offered as a memorial for John Gernaat, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0176 of 2024,House Resolution,"A resolution of tribute offered as a memorial for David H. Evans, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0177 of 2024,House Resolution,"A resolution to declare January 21-27, 2024, as School Choice Week in the state of Michigan.Last Action: referred to Committee on Government Operations"
HR 0178 of 2024,House Resolution,"A resolution to declare February 1, 2024, as Blue Star Mothers Day in the state of Michigan.Last Action: adopted"
HR 0179 of 2024,House Resolution,"A resolution to declare January 28-February 3, 2024, as Catholic Schools Week in the state of Michigan.Last Action: referred to Committee on Government Operations"
HR 0180 of 2024,House Resolution,A resolution to declare February 2024 as National Teen Dating Violence Awareness and Prevention Month in the state of Michigan.Last Action: adopted
HR 0181 of 2024,House Resolution,"A resolution to affirm this chamber's commitment to supporting an extension of the Affordable Connectivity Program, recognizing that this program provides Michigan citizens statewide with access to affordable broadband services.Last Action: referred to Committee on Government Operations"
HR 0182 of 2024,House Resolution,"A resolution to condemn the Wall Street Journal opinion piece, “Welcome to Dearborn, America’s Jihad Capital,” as racist and Islamophobic.Last Action: referred to Committee on Government Operations"
HR 0183 of 2024,House Resolution,"A resolution to declare February 2024 as American Heart Month and February 7, 2024, as National Wear Red Day in the state of Michigan.Last Action: adopted"
HR 0184 of 2024,House Resolution,A resolution to vehemently oppose the transfer of mail processing operations from the Iron Mountain Processing and Distribution Center to the Green Bay Processing and Distribution Center in Wisconsin.Last Action: adopted
HR 0185 of 2024,House Resolution,A resolution to recognize the 1st anniversary of the tragic shooting at Michigan State University.Last Action: adopted
HR 0186 of 2024,House Resolution,"A resolution to declare February 18-24, 2024, as Sauna Week in the state of Michigan.Last Action: adopted"
HR 0187 of 2024,House Resolution,"A resolution to declare February 15, 2024, as Angelman Syndrome Awareness Day in the state of Michigan.Last Action: adopted"
HR 0188 of 2024,House Resolution,A resolution to call for the immediate release of Jimmy Lai from imprisonment and urge the United States government to assert diplomatic pressure on the governments of the People’s Republic of China and the Hong Kong Special Administrative Region to help secure Mr. Lai’s release.Last Action: referred to Committee on Government Operations
HR 0189 of 2024,House Resolution,A resolution to declare February 2024 as Cholangiocarcinoma Awareness Month in the state of Michigan.Last Action: adopted
HR 0190 of 2024,House Resolution,"A resolution to declare February 14, 2024, as National Donor Day in the state of Michigan.Last Action: adopted"
HR 0191 of 2024,House Resolution,"A resolution to denounce the espousal of racist, xenophobic, white supremacist, anti-Semitic, and Islamophobic language by members of this chamber.Last Action: roll call Roll Call # 10 Yeas 98 Nays 5 Excused 0 Not Voting 5"
HR 0192 of 2024,House Resolution,"A resolution to declare February 11-17, 2024, as Michigan 2-1-1 Week in the state of Michigan.Last Action: adopted"
HR 0193 of 2024,House Resolution,"A resolution to declare February 17-24, 2024, as National FFA Week in the state of Michigan.Last Action: adopted"
HR 0194 of 2024,House Resolution,A resolution to declare February 2024 as School-Based Health Care Awareness Month in the state of Michigan.Last Action: adopted
HR 0195 of 2024,House Resolution,A resolution to commemorate the 100th anniversary of JCI Michigan.Last Action: adopted
HR 0196 of 2024,House Resolution,A resolution to urge the Governor of Michigan to support the rights of the state of Texas and call on the federal government to enforce federal immigration laws.Last Action: referred to Committee on Government Operations
HR 0197 of 2024,House Resolution,A resolution to declare February 2024 as Black History Month in the state of Michigan.Last Action: adopted
HR 0198 of 2024,House Resolution,A resolution to declare February 2024 as School Resource Officer Appreciation Month in the state of Michigan.Last Action: referred to Committee on Government Operations
HR 0199 of 2024,House Resolution,A resolution to declare March 2024 as Agriculture Month in the state of Michigan.Last Action: adopted
HR 0200 of 2024,House Resolution,"A resolution to declare March 3-9, 2024, as School Social Work Week in the state of Michigan.Last Action: adopted"
HR 0201 of 2024,House Resolution,A resolution to declare March 2024 as Athletic Trainer Month in the state of Michigan.Last Action: adopted
HR 0202 of 2024,House Resolution,"A resolution of tribute offered as a memorial for Gary Richard Glenn, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0203 of 2024,House Resolution,"A resolution of tribute to offered as a memorial for Thomas W. White, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0204 of 2024,House Resolution,"A resolution to censure Speaker of the House Joe Tate, Representative of the Tenth House District, State of Michigan.Last Action: referred to Committee on Government Operations"
HR 0205 of 2024,House Resolution,A resolution to declare March 2024 as Women’s History Month in the state of Michigan.Last Action: adopted
HR 0206 of 2024,House Resolution,"A resolution to declare March 11-15, 2024, as Civic Learning Week in the state of Michigan.Last Action: adopted"
HR 0207 of 2024,House Resolution,"A resolution to declare March 10-16, 2024, as Sunshine Week in the state of Michigan.Last Action: adopted"
HR 0208 of 2024,House Resolution,"A resolution to declare March 16, 2024, as St. Urho’s Day in the state of Michigan.Last Action: adopted"
HR 0209 of 2024,House Resolution,A resolution to declare April 2024 as Fair Housing Month in the state of Michigan.Last Action: referred to Committee on Government Operations
HR 0210 of 2024,House Resolution,A resolution to declare April 2024 as Second Chance Month in the state of Michigan.Last Action: referred to Committee on Government Operations
HR 0211 of 2024,House Resolution,"A resolution to declare April 1-7, 2024, as National Public Health Week in the state of Michigan.Last Action: adopted"
HR 0212 of 2024,House Resolution,"A resolution to declare March 22, 2024, as Michigan Water Day and World Water Day in the state of Michigan.Last Action: adopted"
HR 0213 of 2024,House Resolution,A resolution to declare March 2024 as Endometriosis Awareness Month in the state of Michigan.Last Action: adopted
HR 0214 of 2024,House Resolution,"A resolution to declare March 24-31, 2024, as Holy Week in the state of Michigan.Last Action: adopted"
HR 0215 of 2024,House Resolution,A resolution to declare March 2024 as Social Work Month in the state of Michigan.Last Action: adopted
HR 0216 of 2024,House Resolution,"A resolution to extend best wishes to Muslims in Michigan, the United States, and worldwide, for a joyous and meaningful observance of Ramadan, a holy month of prayer, fasting, charity, and reflection.Last Action: adopted"
HR 0217 of 2024,House Resolution,A resolution to declare April 2024 as Autism Awareness Month in the state of Michigan.Last Action: adopted
HR 0218 of 2024,House Resolution,A resolution to declare April 2024 as County Government Month in the state of Michigan.Last Action: adopted
HR 0219 of 2024,House Resolution,"A resolution to declare April 11-17, 2024, as Black Maternal Health Week in the state of Michigan.Last Action: adopted"
HR 0220 of 2024,House Resolution,"A resolution to declare April 14-20, 2024, as Junior Achievement Week in the state of Michigan.Last Action: adopted"
HR 0221 of 2024,House Resolution,A resolution to declare April 2024 as Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0222 of 2024,House Resolution,"A resolution to declare April 16, 2024, as Librarian and Library Worker Day in the state of Michigan.Last Action: adopted"
HR 0223 of 2024,House Resolution,"A resolution to declare April 15-19, 2024, as National Public Safety Telecommunicators Week in the state of Michigan.Last Action: adopted"
HR 0224 of 2024,House Resolution,"A resolution to declare April 18, 2024, as Champions Day in the state of Michigan.Last Action: adopted"
HR 0225 of 2024,House Resolution,A resolution to declare April 2024 as Sjogren's Syndrome Awareness Month in the state of Michigan.Last Action: adopted
HR 0226 of 2024,House Resolution,A resolution to declare April 2024 as Sarcoidosis Awareness Month in the state of Michigan.Last Action: adopted
HR 0227 of 2024,House Resolution,A resolution to urge Congress to pass legislation requiring the exclusion of illegal immigrants when apportioning seats in the United States House of Representatives.Last Action: referred to Committee on Government Operations
HR 0228 of 2024,House Resolution,A resolution to declare April 2024 as Arab-American Heritage Month in the state of Michigan.Last Action: adopted
HR 0229 of 2024,House Resolution,"A resolution to declare April 28, 2024, as Worker Memorial Day in the state of Michigan.Last Action: adopted"
HR 0230 of 2024,House Resolution,"A resolution to urge the Michigan Department of Labor and Economic Opportunity, the Michigan Occupational Safety and Health Administration, the United States Department of Labor - Occupational Safety and Health Administration, and all those responsible for the safety of Michigan’s workers to do everything in their power to decrease workplace injuries and deaths and make worksites safer for all hardworking Michiganders.Last Action: adopted"
HR 0231 of 2024,House Resolution,"A resolution to declare April 21-27, 2024, as Crime Victim Rights Awareness Week in the state of Michigan.Last Action: adopted"
HR 0232 of 2024,House Resolution,"A resolution to urge the Michigan Department of Natural Resources and the Natural Resources Commission to declare the Houghton-Douglass Falls as the Houghton-Douglass Falls Veterans Scenic Site, a unit of McLain State Park.Last Action: adopted"
HR 0233 of 2024,House Resolution,A resolution to urge the U.S. Fish and Wildlife Service to allow the state of Michigan to engage in the scientific management of the species Canis Lupus.Last Action: referred to Committee on Government Operations
HR 0234 of 2024,House Resolution,A resolution to urge the United States Secretary of State to designate drug cartels as foreign terrorist organizations.Last Action: referred to Committee on Government Operations
HR 0235 of 2024,House Resolution,A resolution to declare April 2024 as Community College Month in the state of Michigan.Last Action: adopted
HR 0236 of 2024,House Resolution,"A resolution to declare April 24, 2024, as Michigan Afterschool Partnership Day in the state of Michigan.Last Action: adopted"
HR 0237 of 2024,House Resolution,"A resolution to urge the Governor to send members of the Michigan National Guard to the Texan southern border, where their support is desperately needed.Last Action: motion to discharge committee rejected"
HR 0238 of 2024,House Resolution,A resolution to declare May 2024 as National Lyme Disease Awareness Month in the state of Michigan.Last Action: adopted
HR 0239 of 2024,House Resolution,A resolution to declare May 2024 as Treatment Court Month in the state of Michigan.Last Action: adopted
HR 0240 of 2024,House Resolution,A resolution to declare May 2024 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: adopted
HR 0241 of 2024,House Resolution,A resolution to declare May 2024 as Military Appreciation Month in the state of Michigan.Last Action: adopted
HR 0242 of 2024,House Resolution,"A resolution to declare May 1, 2024, as Older Michiganians Day in the state of Michigan.Last Action: adopted"
HR 0243 of 2024,House Resolution,"A resolution to declare May 10, 2024, as Provider Appreciation Day in the state of Michigan.Last Action: adopted"
HR 0244 of 2024,House Resolution,A resolution to declare May 2024 as Michigan Moves Month in the state of Michigan.Last Action: adopted
HR 0245 of 2024,House Resolution,"A resolution to declare May 1, 2024, as International Workers’ Day in the state of Michigan.Last Action: adopted"
HR 0246 of 2024,House Resolution,"A resolution to declare May 5-11, 2024, as Tardive Dyskinesia Awareness Week in the state of Michigan.Last Action: adopted"
HR 0247 of 2024,House Resolution,"A resolution to declare May 2, 2024, as End Jew-Hatred Day in the state of Michigan.Last Action: motion to discharge committee rejected"
HR 0248 of 2024,House Resolution,"A resolution to declare May 6-10, 2024, as Teacher Appreciation Week in the state of Michigan.Last Action: adopted"
HR 0249 of 2024,House Resolution,A resolution to declare May 2024 as Huntington's Disease Awareness Month in the state of Michigan.Last Action: adopted
HR 0250 of 2024,House Resolution,A resolution to declare May 2024 as Asthma and Allergy Awareness Month in the state of Michigan.Last Action: adopted
HR 0251 of 2024,House Resolution,"A resolution to declare May 6-12, 2024, as Nurses Week in the state of Michigan.Last Action: adopted"
HR 0252 of 2024,House Resolution,"A resolution to declare May 12, 2024, as Fibromyalgia Awareness Day in the state of Michigan.Last Action: adopted"
HR 0253 of 2024,House Resolution,A resolution to declare May 2024 as Cystic Fibrosis Awareness Month in the state of Michigan.Last Action: adopted
HR 0254 of 2024,House Resolution,"A resolution to declare May 7-13, 2024, as Fentanyl Awareness Week in the state of Michigan.Last Action: adopted"
HR 0255 of 2024,House Resolution,"A resolution to declare May 2024 as Asian American, Native Hawaiian and Pacific Islander Heritage Month in the state of Michigan.Last Action: adopted"
HR 0256 of 2024,House Resolution,"A resolution to declare May 14, 2024, as Hmong Special Guerrilla Units Remembrance Day in the state of Michigan.Last Action: adopted"
