Document,Type,Description
HR 0088 of 2011,House Resolution,A resolution to declare May 2011 as Lyme Disease Awareness Month in Michigan.Last Action: adopted
SR 0088 of 2011,Senate Resolution,A resolution of tribute for the Honorable Stevens Thomson Mason.Last Action: ADOPTED
SR 0089 of 2011,Senate Resolution,"A resolution proclaiming October 16-22, 2011, as Michigan Forest Products Week.Last Action: ADOPTED"
HR 0089 of 2011,House Resolution,"A resolution to urge the Department of Defense to apply uniform standards for awarding the Purple Heart, to ensure appropriate acknowledgement of our military personnel who sustain traumatic brain injuries.

Last Action: adopted"
HR 0090 of 2011,House Resolution,"A resolution to declare May 12, 2011, as Fibromyalgia Awareness Day in the state of Michigan.Last Action: adopted"
SR 0090 of 2011,Senate Resolution,"A resolution to recognize October 20, 2011, as Hispanic Advocacy Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0091 of 2011,Senate Resolution,A resolution proclaiming November 2011 as Epilepsy Awareness Month in the state of Michigan.Last Action: ADOPTED
HR 0091 of 2011,House Resolution,"A resolution to declare May 15-21, 2011, as Police Week in the state of Michigan.Last Action: adopted"
HR 0092 of 2011,House Resolution,"A resolution to memorialize the Congress of the United States to include total liquid assets as countable income when determining eligibility for the Food Assistance Program.

Last Action: referred to Committee on Families, Children, and Seniors"
SR 0092 of 2011,Senate Resolution,"A resolution recognizing November 3, 2011, as Chevrolet's centennial birthday.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0093 of 2011,Senate Resolution,"A resolution to memorialize Congress and the U.S. Department of Transportation to approve a grant for a project at the I-275 and Ford Road interchange under the Transportation Investment Generating Economic Recovery Discretionary Grant program.

Last Action: ADOPTED"
HR 0093 of 2011,House Resolution,"A resolution to declare May 25, 2011, as Missing Children's Day in the state of Michigan.Last Action: adopted"
HR 0094 of 2011,House Resolution,"A resolution to declare June 4, 2011, as Childhood Cancer Survivors' Day in the state of Michigan.Last Action: adopted"
SR 0094 of 2011,Senate Resolution,"A resolution to memorialize Congress and the United States Department of Labor to halt the implementation of proposed restrictions regarding youth employment on farms.

Last Action: ADOPTED"
SR 0095 of 2011,Senate Resolution,"A resolution to express support for the continued efforts of the Michigan Attorney General to oppose the implementation of the Patient Protection and Affordable Care Act and its amendments and to memorialize Congress to repeal it.
Last Action:  ROLL CALL # 667 YEAS 20 NAYS 17 EXCUSED 1 NOT VOTING 0"
HR 0095 of 2011,House Resolution,"A resolution to declare June 5-11, 2011, as Rip Current Awareness Week in the state of Michigan.Last Action: adopted"
HR 0096 of 2011,House Resolution,"A resolution to memorialize Congress to modernize the Toxic Substances Control Act (TSCA).

Last Action: adopted"
SR 0096 of 2011,Senate Resolution,A resolution to declare November 2011 as Diabetes Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0097 of 2011,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to ensure that amounts credited to the Harbor Maintenance Trust Fund are used solely for the dredging, infrastructure, operation, and maintenance of federally authorized ports, harbors, and waterways.
Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0097 of 2011,House Resolution,"A resolution to declare October 20, 2011, as Osteoporosis Awareness and Prevention Day in the state of Michigan.Last Action: adopted"
HR 0098 of 2011,House Resolution,"A resolution to declare June 11-19, 2011, as Aquatic Invasive Species Awareness Week in the state of Michigan.Last Action: adopted"
SR 0098 of 2011,Senate Resolution,"A resolution to urge the state of New York to reject appeals to weaken its ballast water standards.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SR 0099 of 2011,Senate Resolution,"A resolution recognizing November 13-19, 2011, as Nurse Practitioner Week in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0099 of 2011,House Resolution,"A resolution to memorialize the Congress and the President of the United States to oppose any proposal that will eliminate the traditional  Medicare program and to convert the Medicaid program to a block grant.
Last Action: motion to discharge committee postponed for day"
HR 0100 of 2011,House Resolution,"A resolution to memorialize Congress and the U.S. Department of Agriculture to increase the flexibility of states to administer the Supplemental Nutrition Assistance Program.
Last Action: adopted"
SR 0100 of 2011,Senate Resolution,"A resolution observing November 17, 2011, as World Prematurity Day in the state of Michigan.Last Action: ADOPTED"
SR 0101 of 2011,Senate Resolution,A resolution offered as a memorial to the life and accomplishments of Frederik Gerhard Hendrik Meijer.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
HR 0101 of 2011,House Resolution,"A resolution to memorialize the President and the Congress of the United States to allow access to frozen Libyan assets to address the situation facing Libyan students studying at American universities and participating in academic programs.

Last Action: referred to Committee on Government Operations"
HR 0102 of 2011,House Resolution,A resolution to declare July 2011 as Craft Beer Month in the state of Michigan.Last Action: adopted
SR 0102 of 2011,Senate Resolution,"A resolution to memorialize Congress to enact legislation to ensure that members of Congress and their staffs are subject to the same laws and rules prohibiting insider trading that apply to corporate executives and others.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0103 of 2011,Senate Resolution,A resolution to declare the city of Algonac the Water Speed Capital of the state of Michigan.Last Action: ADOPTED
HR 0103 of 2011,House Resolution,A resolution to declare July 2011 as Parks and Recreation Month in the state of Michigan.Last Action: adopted
HR 0104 of 2011,House Resolution,"A resolution to declare June 22, 2011, as Dairy Foods Awareness Day in the state of Michigan.
Last Action: adopted"
SR 0104 of 2011,Senate Resolution,"A resolution recognizing February 4, 2012, as Cancer Prevention Day.Last Action: ADOPTED"
SR 0105 of 2011,Senate Resolution,"A resolution to memorialize Congress and the U.S. Department of Treasury to restore the option of purchasing U.S. savings bonds in paper form at any time.
Last Action: PLACED ON ORDER OF RESOLUTIONS"
HR 0105 of 2011,House Resolution,A resolution to declare August 2011 as Camping and Recreational Vehicle Month in the state of Michigan.Last Action: adopted
HR 0106 of 2011,House Resolution,"A resolution to memorialize Congress to adopt legislation expressing the sense that national health care reform should ensure that the health care needs of women in the United States are met.

Last Action: referred to Committee on Health Policy"
SR 0106 of 2011,Senate Resolution,"A resolution to urge the Governor not to appoint an emergency manager for Detroit but to address the long-term issues that have created the economic conditions in Detroit and to work with elected city officials, Detroit legislators, community leaders, and all stakeholders to develop solutions for Detroit's long-term financial health.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0107 of 2011,House Resolution,"A resolution to express the sense of this legislative body that the state of Michigan should intensify its efforts to reduce the high rates of teen pregnancies.

Last Action: referred to Committee on Health Policy"
HR 0108 of 2011,House Resolution,"A resolution to encourage the Michigan Department of Natural Resources and the Natural Resources Commission to allow baiting of deer in northeast Michigan for a trial period of two years.

Last Action: adopted"
HR 0109 of 2011,House Resolution,A resolution to declare July 2011 as Professional Pest Management Month in the state of Michigan.Last Action: adopted
HR 0110 of 2011,House Resolution,A resolution to declare June 2011 as Squamous Cell Carcinoma Awareness Month in the state of Michigan.Last Action: adopted
HR 0111 of 2011,House Resolution,"A resolution to memorialize the President and the United States Congress to enact legislation protecting the rights of conscience of students seeking counseling degrees and licensed professional counselors.

Last Action: adopted"
HR 0112 of 2011,House Resolution,"A resolution to urge Michigan's public universities to adopt policies to protect the rights of students in counseling, social work, or psychology programs who are faced with situations that conflict with their religious beliefs.

Last Action:  Roll Call # 411 Yeas 62 Nays 48"
HR 0113 of 2011,House Resolution,"A resolution to extend subpoena power to the House Oversight, Reform and Ethics Committee.

Last Action: referred to Committee on Government Operations"
HR 0114 of 2011,House Resolution,"A resolution to memorialize Congress to amend federal No Child Left Behind provisions to allow the test scores of students for whom English is a second language to be excluded from a school district's test results for a certain period of time.

Last Action: referred to Committee on Education"
HR 0115 of 2011,House Resolution,"A resolution to express the intent of the House of Representatives that the Open Meetings Act be interpreted to require an elected or appointed officeholder to be physically present in order to cast votes and to participate officially in a meeting subject to the Open Meetings Act.

Last Action: referred to Committee on Government Operations"
HR 0116 of 2011,House Resolution,A resolution to declare September 2011 as National Recovery Month in the state of Michigan.Last Action: adopted
HR 0117 of 2011,House Resolution,A resolution to declare Fowlerville the Soybean Capital of the state of Michigan.Last Action: referred to Committee on Agriculture
HR 0118 of 2011,House Resolution,A resolution to declare August 2011 as Spinal Muscular Atrophy Awareness Month in the state of Michigan.Last Action: adopted
HR 0119 of 2011,House Resolution,"A resolution to memorialize the Wisconsin Department of Justice to recognize Michigan concealed pistol license holders as being legal to carry concealed weapons in the state of Wisconsin.

Last Action: referred to Committee on Judiciary"
HR 0120 of 2011,House Resolution,"A resolution to declare September 10, 2011, as Soybean Awareness Day in the state of Michigan.Last Action: adopted"
HR 0121 of 2011,House Resolution,A resolution to declare September 2011 as Pain Awareness Month in the state of Michigan.Last Action: adopted
HR 0122 of 2011,House Resolution,A resolution to declare September 2011 as Life Insurance Awareness Month in the state of Michigan.Last Action: adopted
HR 0123 of 2011,House Resolution,A resolution to declare September 2011 as Ovarian Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0124 of 2011,House Resolution,"A resolution to memorialize Congress to enact legislation, S. 911, to unite our nation with a single, interoperable public safety network in order to protect the public and the lives of our first responders.

Last Action: referred to Committee on Energy and Technology"
HR 0125 of 2011,House Resolution,A resolution to declare September 2011 as Alzheimer's Month in the state of Michigan.Last Action: adopted
HR 0126 of 2011,House Resolution,"A resolution to declare September 21, 2011, as Alzheimer's Action Day in the state of Michigan.Last Action: adopted"
HR 0127 of 2011,House Resolution,"A resolution to express appreciation for the work and sacrifices of first responders in Michigan, to commemorate the lives of Michigan residents lost in the terrorist attacks on September 11, 2001, and to honor our nation for its strength and resolve in the face of an enemy.Last Action: adopted"
HR 0128 of 2011,House Resolution,"A resolution to declare September 15, 2011, as Buy Local, Select Pure Michigan Day in the state of Michigan.Last Action: adopted"
HR 0129 of 2011,House Resolution,"A resolution to declare Sept. 16, 2011, as POW/MIA Day in the state of Michigan.Last Action: adopted"
HR 0130 of 2011,House Resolution,"A resolution to declare September 19-26, 2011, as Child Passenger Safety Week in the state of Michigan.Last Action: adopted"
HR 0131 of 2011,House Resolution,A resolution to recognize the Ford Motor Company for its 2011 Secretary of Defense Employer Support Freedom Award.Last Action: adopted
HR 0132 of 2011,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0133 of 2011,House Resolution,A resolution to declare September 2011 as Preparedness Month in the state of Michigan.Last Action: adopted
HR 0134 of 2011,House Resolution,"A resolution to urge the Governor to expedite Michigan’s withdrawal from the Midwestern Greenhouse Gas Reduction Accord.

Last Action: referred to Committee on Energy and Technology"
HR 0135 of 2011,House Resolution,"A resolution to declare October 16-22, 2011, as Credit Union Week in the state of Michigan.Last Action: adopted"
HR 0136 of 2011,House Resolution,"A resolution to memorialize the President and the United States Congress to support the continued and increased importation of oil derived from Canadian oil sands and to urge the United States Secretary of State to approve the TransCanada Keystone Coast Expansion pipeline project.

Last Action: adopted"
HR 0137 of 2011,House Resolution,A resolution to declare October 2011 as Breast Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0138 of 2011,House Resolution,"A resolution to declare October 6, 2011, as Read For The Record Day in the state of Michigan.Last Action: adopted"
HR 0139 of 2011,House Resolution,"A resolution requesting that the Attorney General begin an investigation into the Office of the Wayne County Executive and other entities related to the severance payment scandal to determine if any misconduct or malfeasance occurred.

Last Action: referred to Committee on Oversight, Reform, and Ethics"
HR 0140 of 2011,House Resolution,A resolution to declare October 2011 as Cybersecurity Awareness Month in the state of Michigan.Last Action: adopted
HR 0141 of 2011,House Resolution,"A resolution to amend the Standing Rules of the House of Representatives.

Last Action: referred to Committee on Government Operations"
HR 0142 of 2011,House Resolution,"A resolution to express support for pregnancy resource centers and to memorialize Congress and other state and federal agencies to support these facilities in a manner that does not compromise their mission or religious integrity.

Last Action: referred to Committee on Health Policy"
HR 0143 of 2011,House Resolution,A resolution to declare October 2011 as Anti-Bullying Awareness Month in the state of Michigan.Last Action: referred to Committee on Education
HR 0144 of 2011,House Resolution,"A resolution to request the Auditor General to conduct a review of the practices of the Office of the Wayne County Executive pertaining to severance payments made when an officer left the county to work for the Wayne County Airport Authority and to look into contracts and agreements involving the Wayne County Community Mental Health Agency.

Last Action: referred to Committee on Oversight, Reform, and Ethics"
HR 0145 of 2011,House Resolution,"A resolution to urge the U.S. Congress and the United States Department of Labor to amend proposed work regulations that would limit youth employment on farms.

Last Action: adopted"
HR 0146 of 2011,House Resolution,"A resolution to declare October 16-23, 2011, as Jaycee Week in the state of Michigan.Last Action: adopted"
HR 0147 of 2011,House Resolution,"A resolution to declare October 23-29, 2011, as Respiratory Care Week in the state of Michigan.
Last Action: adopted"
HR 0148 of 2011,House Resolution,"A resolution to encourage school boards throughout the state to establish policies that ensure that agricultural science courses count toward graduation.
Last Action: adopted"
HR 0149 of 2011,House Resolution,A resolution to declare October 2011 as Domestic Violence Awareness Month in the state of Michigan.Last Action: adopted
HR 0150 of 2011,House Resolution,"A resolution to declare November 13-19, 2011, as Nurse Practitioner Week in the state of Michigan.Last Action: adopted"
HR 0151 of 2011,House Resolution,"A resolution to declare November 14-18, 2011, as School Psychologists Week in the state of Michigan.Last Action: adopted"
HR 0152 of 2011,House Resolution,A resolution to declare November 2011 as Adoption Awareness Month in the state of Michigan.Last Action: adopted
HR 0153 of 2011,House Resolution,"A resolution to encourage Michigan schools to offer foreign language classes in elementary school.

Last Action: adopted"
HR 0154 of 2011,House Resolution,A resolution to declare November 2011 as Diabetes Awareness Month in the state of Michigan.Last Action: adopted
HR 0155 of 2011,House Resolution,"A resolution to declare November 16, 2011, as Chronic Obstructive Pulmonary Disease Awareness Day in the state of Michigan.
Last Action: adopted"
HR 0156 of 2011,House Resolution,"A resolution to memorialize Congress to resolve the internet taxation issue and enact legislation, such as the Main Street Fairness Act, to allow states to collect sales taxes on internet and other remote sales transactions.

Last Action: reported with recommendation without amendment"
HR 0157 of 2011,House Resolution,"A resolution of tribute offered as a memorial for Howard Wolpe, former member of the Michigan House of Representatives and the United States House of Representatives.

Last Action: adopted by unanimous standing vote"
HR 0158 of 2011,House Resolution,"A resolution to declare November 17, 2011, as Prematurity Day in the state of Michigan.Last Action: adopted"
HR 0159 of 2011,House Resolution,"A resolution to declare November 17, 2011, as Smoke-Out Day in the state of Michigan.Last Action: adopted"
HR 0160 of 2011,House Resolution,"A resolution to declare November 2011 as Reflex Sympathetic Dystrophy Syndrome Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0161 of 2011,House Resolution,"A resolution to memorialize the United States Congress to fully fund the Individuals with Disabilities Education Act and provide the full amount authorized for special education funding to the state of Michigan.

Last Action: adopted"
HR 0162 of 2011,House Resolution,"A resolution to declare December 4th, 2011, as Pallister-Killian Syndrome Awareness Day in the state of Michigan.Last Action: adopted"
HR 0163 of 2011,House Resolution,A resolution to declare November 2011 as Pancreatic Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0164 of 2011,House Resolution,"A resolution to declare November 2011 as Alzheimer's Disease Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0165 of 2011,House Resolution,"A resolution to declare December 1, 2011, as AIDS Day in the state of Michigan.Last Action: adopted"
HR 0166 of 2011,House Resolution,"A resolution to commemorate the 70th anniversary of the attack on Pearl Harbor and to declare December 7, 2011, as Pearl Harbor Remembrance Day in the state of Michigan.Last Action: adopted"
HR 0167 of 2011,House Resolution,A resolution to declare Algonac the Water Speed Capital of the state of Michigan.Last Action: adopted
HR 0168 of 2011,House Resolution,"A resolution to call upon the Governor to withdraw immediately any pending appeals regarding the illegal 3 percent healthcare tax on Michigan public school and state employees.

Last Action: referred to Committee on Government Operations"
HR 0169 of 2011,House Resolution,"A resolution to memorialize Congress and the U.S. Department of Transportation to approve a grant for the Dort Highway Connector Project in Genesee County under the Transportation Investment Generating Economic Recovery discretionary grant program.

Last Action: referred to Committee on Transportation"
HR 0170 of 2011,House Resolution,"A resolution to urge the Governor not to appoint an Emergency Manager for Detroit but to work with elected city officials, Detroit legislators, and all stakeholders to develop solutions for the city's financial problems.

Last Action: referred to Committee on Government Operations"
HR 0171 of 2011,House Resolution,"A resolution to memorialize Congress to take actions to overturn the December 31, 2011, ban on the sale of over-the-counter inhalers used in the treatment of asthma.

Last Action: referred to Committee on Health Policy"
HR 0172 of 2011,House Resolution,"A resolution to memorialize Congress to enact an extension of federal unemployment benefits.

Last Action: referred to Committee on Commerce"
HR 0173 of 2011,House Resolution,"A resolution to memorialize Congress to extend the Chemical Facility Anti-Terrorism Standards (CFATS) program.

Last Action: adopted"
HR 0174 of 2011,House Resolution,"A resolution to declare January 4, 2012, as Braille Day in the state of Michigan.Last Action: adopted"
SR 0107 of 2012,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to permit the televising of United States Supreme Court proceedings.

Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SR 0108 of 2012,Senate Resolution,A resolution to observe February 2012 as American Heart Month in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0109 of 2012,Senate Resolution,"A resolution recognizing February 3, 2012, as National Wear Red Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0110 of 2012,Senate Resolution,"A resolution commemorating January 22-28, 2012, as Michigan School Choice Week.Last Action: ADOPTED"
SR 0111 of 2012,Senate Resolution,"A resolution recognizing January 29 - February 5, 2012, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED"
SR 0112 of 2012,Senate Resolution,"A resolution to memorialize Congress to oppose the Mobile Informational Call Act of 2011.

Last Action: PLACED ON ORDER OF RESOLUTIONS"
SR 0113 of 2012,Senate Resolution,"A resolution to express support for the 2012 United States Air Force Re-Missioning Plan to locate an MQ-1/9 RSO element at the Battle Creek Air National Guard Base in Battle Creek, Michigan.
Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0114 of 2012,Senate Resolution,"A resolution to memorialize Congress and the President, in all matters pertaining to trade agreements, to remain cognizant of the degree to which Asia's pollution impacts the quality of the Great Lakes.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
SR 0115 of 2012,Senate Resolution,"A resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to require a balanced budget.
Last Action: POSTPONED FOR THE DAY"
SR 0116 of 2012,Senate Resolution,"A resolution offered as a memorial for Milton Zaagman, former member of the Michigan Senate.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0117 of 2012,Senate Resolution,A resolution commemorating the end of the war in Iraq.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0118 of 2012,Senate Resolution,"A resolution to memorialize Congress to exempt Michigan from provisions of the federal unemployment program that are ending extended benefits for thousands of Michigan citizens.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
SR 0119 of 2012,Senate Resolution,A resolution to commend Andover High School and Daniel Baum for promoting democracy through the inauguration of Democracy Week at Andover High School.Last Action: ADOPTED
SR 0120 of 2012,Senate Resolution,"A resolution to affirm the rights of the citizens of the state of Michigan to make their own health care decisions, express support for an interstate health care compact, and memorialize Congress to ratify an interstate compact.
Last Action: PLACED ON ORDER OF RESOLUTIONS"
SR 0121 of 2012,Senate Resolution,"A resolution to declare February 23, 2012, as Conductive Education Day in the state of Michigan.Last Action: ADOPTED"
SR 0122 of 2012,Senate Resolution,A resolution commemorating March 2012 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: ADOPTED
SR 0123 of 2012,Senate Resolution,"A resolution proclaiming March 25-31, 2012, as Michigan STEM Awareness Week.Last Action: ADOPTED"
SR 0124 of 2012,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact a new federal farm bill that ensures the long-term stability and success of our nation's agricultural food and energy system with programs that empower farmers to better manage risk.

Last Action: ADOPTED"
SR 0125 of 2012,Senate Resolution,"A resolution to declare March 12-18, 2012, as Multiple Sclerosis Awareness Week in the state of Michigan.Last Action: ADOPTED"
SR 0126 of 2012,Senate Resolution,"A resolution to reaffirm the relationship between Michigan and Israel and express Michigan's support for policies that advance the partnership between the United States and Israel.

Last Action: ADOPTED"
SR 0127 of 2012,Senate Resolution,"A resolution to memorialize Congress to reject the President's budget proposal to eliminate the search-and-rescue U.S. Coast Guard helicopter unit in Muskegon County and to restructure the Traverse City Air Station.

Last Action: PLACED ON ORDER OF RESOLUTIONS"
SR 0128 of 2012,Senate Resolution,"A resolution to support the city of New Buffalo's grant application to improve the Pere Marquette and Wolverine Intercity Passenger Rail Services.

Last Action: ADOPTED"
SR 0129 of 2012,Senate Resolution,"A resolution declaring March 26-30, 2012, as Graduate Education Week in the state of Michigan.Last Action: ADOPTED"
SR 0130 of 2012,Senate Resolution,A resolution commemorating Dystonia Awareness and to commend Warren resident Mike Delise and the Dystonia Medical Research Foundation (DMRF).Last Action: ADOPTED
SR 0131 of 2012,Senate Resolution,A resolution designating March 2012 as Brain Injury Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0132 of 2012,Senate Resolution,"A resolution to provide public comments to the U.S. Department of the Interior, Fish and Wildlife Service to guide the preparation of a supplemental environmental impact statement or environmental assessment on the development of revised regulations governing the management of double-crested cormorants.

Last Action: ADOPTED"
SR 0133 of 2012,Senate Resolution,A resolution declaring April 2012 as Michigan Safe Digging Month.Last Action: ADOPTED
SR 0134 of 2012,Senate Resolution,"A resolution to memorialize Congress to change the eligibility requirements for Social Security Disability Insurance and Supplemental Security Income benefits for individuals with a terminal illness.

Last Action: ADOPTED"
SR 0135 of 2012,Senate Resolution,"A resolution to recognize May 4, 2012, as Stand4Change Day in the state of Michigan.Last Action: ADOPTED"
SR 0136 of 2012,Senate Resolution,A resolution to recognize April 2012 as National Financial Literacy Month in the state of Michigan.Last Action: ADOPTED
SR 0137 of 2012,Senate Resolution,A resolution commemorating the 95th Anniversary of the Michigan State Police.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0138 of 2012,Senate Resolution,"A resolution designating May 2012 as Michigan Student Athlete Cardiac Awareness Month.
Last Action: ADOPTED"
SR 0139 of 2012,Senate Resolution,"A resolution recognizing April 21-28, 2012, as Money Smart Week in the state of Michigan.Last Action: ADOPTED"
SR 0140 of 2012,Senate Resolution,"A resolution to memorialize the President of the United States and the United States Secretary of Agriculture to declare Southwest Michigan and all of Michigan's fruit-growing regions disaster areas in the wake of weather conditions that have devastated fruit-crop production and grape production in particular.
Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0141 of 2012,Senate Resolution,"A resolution to commemorate April 22-28, 2012, as Crime Victims' Rights Week and reaffirm our commitment to the annual Crime Victims' Vigil on April 25, 2012.Last Action: ADOPTED"
SR 0142 of 2012,Senate Resolution,A resolution declaring May 2012 as Asian Pacific American Heritage Month in the state of Michigan.Last Action: ADOPTED
SR 0143 of 2012,Senate Resolution,A resolution commemorating Wolverine Human Services on 25 years of exemplary efforts to help improve the lives of Michigan's troubled youth.Last Action: ADOPTED
SR 0144 of 2012,Senate Resolution,A resolution commemorating May 2012 as Mental Health Month in the state of Michigan.Last Action: ADOPTED
SR 0145 of 2012,Senate Resolution,"A resolution to urge the Michigan High School Athletic Association to adopt a policy that allows an age eligibility waiver for students with disabilities.

Last Action: LIEUTENANT GOVERNOR NAMED CO-SPONSOR"
SR 0146 of 2012,Senate Resolution,"A resolution to memorialize Congress to renew its commitment to the defense of our nation and to maintain the strength of the C-27J and A-10 units at Michigan's Battle Creek and Selfridge Air National Guard Bases.

Last Action: REFERRED TO COMMITTEE ON VETERANS, MILITARY AFFAIRS AND HOMELAND SECURITY"
SR 0147 of 2012,Senate Resolution,"A resolution to declare May 3, 2012, as Community College Day in the state of Michigan.
Last Action: ADOPTED"
SR 0148 of 2012,Senate Resolution,"A resolution to commemorate May 12, 2012, as National Train Day in the state of Michigan.Last Action: ADOPTED"
SR 0149 of 2012,Senate Resolution,"A resolution to memorialize the President of the United States and the United States Secretary of Agriculture to monitor closely the conditions of Northwest and North Central Michigan's fruit crop to determine if disaster assistance is needed.

Last Action: ADOPTED"
SR 0150 of 2012,Senate Resolution,"A resolution proclaiming May 13-19, 2012, as InfantSEE® Week in Michigan.Last Action: ADOPTED"
SR 0151 of 2012,Senate Resolution,"A resolution recognizing May 6-12, 2012, as National Nurses Week.Last Action: ADOPTED"
SR 0152 of 2012,Senate Resolution,A resolution congratulating the Republic of China (Taiwan) on its twentieth anniversary of participating in the Asia-Pacific Economic Cooperation forum and Taiwan's successful 2012 presidential and parliamentary elections; and expressing continued support of Michigan's cordial relations with Taiwan and for increasing Taiwan's international space as part of the global community.Last Action: ADOPTED
SR 0153 of 2012,Senate Resolution,A resolution to commemorate the 200th Anniversary of the War of 1812.Last Action: ADOPTED
SR 0154 of 2012,Senate Resolution,A resolution commemorating the 75th Anniversary of the Abbott's Magic Get Together.Last Action: ADOPTED
SR 0155 of 2012,Senate Resolution,A resolution commemorating the Third Annual Michigan Chaldean American Legislative Day.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0156 of 2012,Senate Resolution,A resolution designating June 2012 as Michigan Golf Month.Last Action: ADOPTED
SR 0157 of 2012,Senate Resolution,"A resolution proclaiming May 31, 2012, as Community Action Agency Day in Michigan.Last Action: ADOPTED"
SR 0158 of 2012,Senate Resolution,"A resolution to urge the President of the United States to declare a major disaster or emergency for areas in Michigan's Upper Peninsula impacted by the Duck Lake wildfire.

Last Action: ADOPTED"
SR 0159 of 2012,Senate Resolution,A resolution to commemorate August 2012 as Automotive Heritage Month in the state of Michigan.Last Action: ADOPTED
SR 0160 of 2012,Senate Resolution,A resolution designating July 2012 as Michigan Craft Beer Month and commending the Michigan craft brewers.Last Action: ADOPTED
SR 0161 of 2012,Senate Resolution,"A resolution proclaiming July 11, 2012, as Srebrenica Remembrance Day in the state of Michigan and the week of July 11, 2012, as Bosnia and Herzegovina Tribute Week.Last Action: ADOPTED"
SR 0162 of 2012,Senate Resolution,"A resolution to declare June 12, 2012, as Dairy Foods Awareness Day in the state of Michigan.Last Action: ADOPTED"
SR 0163 of 2012,Senate Resolution,A resolution to recognize July 2012 as Parks and Recreation Month in the state of Michigan.Last Action: ADOPTED
SR 0164 of 2012,Senate Resolution,"A resolution to express opposition to the proposed constitutional amendment by Citizens for More Michigan Jobs that would authorize the establishment of eight new casinos and to urge voters not to sign petitions placing this amendment on the statewide ballot.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0165 of 2012,Senate Resolution,"A resolution to declare June 9-17, 2012, as Aquatic Invasive Species Awareness Week in the state of Michigan.Last Action: ADOPTED"
SR 0166 of 2012,Senate Resolution,A resolution recognizing September 2012 as National Recovery Month in the state of Michigan.Last Action: ADOPTED
SR 0167 of 2012,Senate Resolution,"A resolution proclaiming the week of September 10, 2012, as Adult Education and Family Literacy Week in the state of Michigan.Last Action: ADOPTED"
SR 0168 of 2012,Senate Resolution,"A resolution designating September 11-17, 2012, as Michigan Patriot Week.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0169 of 2012,Senate Resolution,"A resolution to encourage and express support for the Michigan Unmanned Aircraft Systems Center in its pursuit of designation as a Federal Aviation Administration Center of Excellence.
Last Action: ADOPTED"
