doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
11scr0015,SCR 0015 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to request the Michigan Supreme Court to issue an opinion on the constitutionality of the provisions of 2011 PA 38 allowing the taxation of certain pension income.

Last Action: referred to Committee on Tax Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0015
11scr0016,SCR 0016 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0016
11hcr0016,HCR 0016 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a decrease in the Total Project Cost and approving a lease between the State of Michigan (the ""State"") and the State Building Authority (the ""Authority"") relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and II Group F VanWagoner Building (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0016
11hcr0017,HCR 0017 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a decrease in Total Project Cost and approving a lease between the State of Michigan (the ""State"") and the State Building Authority (the ""Authority"") relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and II Group G Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0017
11scr0017,SCR 0017 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution prescribing the legislative schedule.
Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0017
11scr0018,SCR 0018 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize Congress to take immediate action to close the O'Brien Lock and Dam in the Chicago Waterway System to prevent Asian carp from entering Lake Michigan and the Great Lakes watershed.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0018
11hcr0018,HCR 0018 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and II Group H Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0018
11hcr0019,HCR 0019 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and Phase II Group I Michigan Library and Historical Center (the ""Facility"").
Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0019
11scr0019,SCR 0019 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize Congress and the U.S. Department of Transportation to approve a grant for a project at the I-275 and Ford Road interchange under the Transportation Investment Generating Economic Recovery Discretionary Grant program.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0019
11scr0020,SCR 0020 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to enact legislation that classifies forestry management activities as nonpoint sources under the federal Clean Water Act.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0020
11hcr0020,HCR 0020 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase III Group O Special Maintenance Projects (the ""Facility"").
Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0020
11hcr0021,HCR 0021 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase III Group N Huron Valley Food Service Building.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0021
11scr0021,SCR 0021 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to urge Congress and the United States Forest Service to take immediate and aggressive action to correct the mismanagement of national forestlands.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0021
11scr0022,SCR 0022 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to urge the Department of Community Health to promote programs to identify and address inequities in the prevention, treatment, and research of diseases threatening the health of women.

Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0022
11hcr0022,HCR 0022 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase II and III Group M Maxey Transition (Green Oaks Addition, Huron Center and Woodland Infirmary).

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0022
11hcr0023,HCR 0023 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and III Group L Maxey Special Maintenance Projects (the ""Facility"").
Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0023
