doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
07hjr000M,HJR M of 2007,NA,NA,2007-2008,HJR,Legislature,sessions,"Legislature; sessions; part-time legislature; provide for, and eliminate term limits. Amends sec. 13, art. IV & repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 05/24/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-M
07hjr000N,HJR N of 2007,NA,NA,2007-2008,HJR,Property tax,state education tax,Property tax; state education tax; requirement for levy of state education tax to remain in district; provide for. Amends the state constitution by adding sec. 43 to art. IX.Last Action: printed joint resolution filed 06/08/2007,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-N
07hjr000O,HJR O of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,Legislature; legislators; reduction of pay for legislators who miss session without a valid excuse; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 06/08/2007,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-O
07hjr000P,HJR P of 2007,NA,NA,2007-2008,HJR,Legislature,other,"Legislature; other; legislative expense allowance, session days, certain salary revisions, and other general provisions; modify. Amends secs. 12 & 13, art. IV; adds secs. 55 & 56 to art. IV & sec. 43 to art. IX & repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/13/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-P
07hjr000Q,HJR Q of 2007,NA,NA,2007-2008,HJR,Constitutional amendments,state,"Constitutional amendments; state; increase in taxable value of property; prohibit if market value is decreasing. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 06/21/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-Q
07hjr000R,HJR R of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; term limits; extend. Amends sec. 54, art. IV & sec. 30, art. V of the state constitution.Last Action: printed joint resolution filed 06/22/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-R
07hjr000S,HJR S of 2007,NA,NA,2007-2008,HJR,Elections,primary,"Elections; primary; voting age at primary elections; revise to 17 under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: printed joint resolution filed 06/22/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-S
07hjr000T,HJR T of 2007,NA,NA,2007-2008,HJR,Legislature,apportionment,"Legislature; apportionment; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 06/22/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-T
07hjr000U,HJR U of 2007,NA,NA,2007-2008,HJR,Elections,initiative and referendum,"Elections; initiative and referendum; statewide ballot proposals to be voted on at odd year general elections; require. Amends sec. 9, art II & secs. 1 & 2, art XII of the state constitution.Last Action: printed joint resolution filed 08/09/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-U
07hjr000V,HJR V of 2007,NA,NA,2007-2008,HJR,Higher education,state universities,"Higher education; state universities; classifying certain active duty military and their dependents residents for determining tuition; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 09/07/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-V
07hjr000W,HJR W of 2007,NA,NA,2007-2008,HJR,Property tax,Headlee,"Property tax; Headlee; Headlee millage rollbacks; exempt site building and sinking funds. Amends sec. 31, art. IX of the state constitution.Last Action: printed joint resolution filed 09/13/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-W
07hjr000X,HJR X of 2007,NA,NA,2007-2008,HJR,Sales tax,rate,"Sales tax; rate; sales tax rate; amend constitution to increase. Amends sec. 8, art. IX of the state constitution.Last Action: postponed temporarily",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-X
07hjr000Y,HJR Y of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; tax increase or imposition of new tax; require 3/5 vote of the legislature and require sunset unless approved by majority of electors. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 09/13/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-Y
07hjr000Z,HJR Z of 2007,NA,NA,2007-2008,HJR,Income tax,rate,"Income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 09/14/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-Z
07hjr00AA,HJR AA of 2007,NA,NA,2007-2008,HJR,Legislature,other,"Legislature; other; requirement for budget approvals by July 1; provide for. Amends sec. 31, art. IV of the state constitution.Last Action: printed joint resolution filed 09/28/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-AA
07hjr00BB,HJR BB of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature; provide for, and revise session schedule, legislators' salary, and term limits. Amends secs. 12, 13 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 05/08/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-BB
07hjr00CC,HJR CC of 2007,NA,NA,2007-2008,HJR,Property tax,assessments,"Property tax; assessments; blighted property; amend constitution to allow assessment at different level. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 10/11/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-CC
07hjr00DD,HJR DD of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; legislative salaries; modify. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 10/24/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-DD
07hjr00EE,HJR EE of 2007,NA,NA,2007-2008,HJR,Legislature,other,"Legislature; other; deadline for passage of general government budget; establish, and provide penalties for noncompliance. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 11/07/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-EE
07hjr00FF,HJR FF of 2007,NA,NA,2007-2008,HJR,Retirement,judges,"Retirement; judges; age of retirement for judges; increase to 75 years of age. Amends sec. 19, art. VI of the state constitution.Last Action: printed joint resolution filed 11/08/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-FF
07hjr00GG,HJR GG of 2007,NA,NA,2007-2008,HJR,State financing and management,funds,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 11/08/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-GG
07hjr00HH,HJR HH of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; reforms to term limits, 1-year moratorium on lobbying for certain state officials, and reduced compensation for state legislators with unexcused absences; provide for. Amends secs. 12 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 11/27/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-HH
07hjr00II,HJR II of 2007,NA,NA,2007-2008,HJR,Public employees and officers,state,"Public employees and officers; state; maximum number of unclassified employees; increase. Amends sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 11/29/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-II
07hjr00JJ,HJR JJ of 2007,NA,NA,2007-2008,HJR,Public employees and officers,state,"Public employees and officers; state; position of chief administrative officer in the executive branch; provide for. Amends sec. 1, art. V of the state constitution.Last Action: printed joint resolution filed 12/06/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-JJ
08sjr000K,SJR K of 2008,NA,NA,2007-2008,SJR,Elections,initiative and referendum,"Elections; initiative and referendum; filing petition; include a requirement for geographic distribution of signatures. Amends sec. 9, art. II of the state constitution.Last Action: REFER TO COMMITTEE WITHDRAWN",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-K
08sjr000L,SJR L of 2008,NA,NA,2007-2008,SJR,Use tax,collections,"Use tax; collections; 2/3 vote of the legislature to expand the base on taxing services; require. Amends sec. 26, art. IV of the state constitution.Last Action: RECONSIDER VOTE POSTPONED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-L
08sjr000M,SJR M of 2008,NA,NA,2007-2008,SJR,Constitutional amendments,state,"Constitutional amendments; state; Michigan natural resources trust fund; increase allowable annual expenditures and authorize bonds. Amends sec. 35, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-M
08sjr000N,SJR N of 2008,NA,NA,2007-2008,SJR,Elections,school,"Elections; school; voting age for school district elections; reduce to 16 years of age under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-N
08sjr000O,SJR O of 2008,NA,NA,2007-2008,SJR,Legislature,legislators,"Legislature; legislators; reforms to term limits, 1-year moratorium on lobbying for certain state officials, and reduced compensation for state legislators with unexcused absences; provide for. Amends secs. 12 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-O
08sjr000P,SJR P of 2008,NA,NA,2007-2008,SJR,Property tax,assessments,"Property tax; assessments; taxable value; limit increase when market value increases by less than 5% or the rate of inflation. Amends sec. 3, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-P
08sjr000Q,SJR Q of 2008,NA,NA,2007-2008,SJR,Legislature,legislative agencies,"Legislature; legislative agencies; impact analysis on bill proposals; require. Amends secs. 26 & 31, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-SJR-Q
08hjr00KK,HJR KK of 2008,NA,NA,2007-2008,HJR,Elections,judicial,"Elections; judicial; ballot designation for incumbent judges; eliminate. Amends sec. 24, art. VI of the state constitution.Last Action: printed joint resolution filed 01/17/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-KK
08hjr00LL,HJR LL of 2008,NA,NA,2007-2008,HJR,Property tax,assessments,"Property tax; assessments; taxable value; limit increase when market value increases by less than 5% or the rate of inflation. Amends sec. 3, art. IX of the state constitution.Last Action: motion to discharge committee postponed for day",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-LL
08hjr00MM,HJR MM of 2008,NA,NA,2007-2008,HJR,Property tax,assessments,"Property tax; assessments; increase in taxable value upon transfer; limit. Amends sec. 3, art. IX of the state constitution.Last Action: motion to discharge committee postponed for day",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-MM
08hjr00NN,HJR NN of 2008,NA,NA,2007-2008,HJR,Family law,parental rights,Family law; parental rights; rights of parents and legal guardians to direct upbringing of children; declare as a fundamental constitutional right. Amends the state constitution by adding sec. 27 to art. I.Last Action: motion to discharge committee postponed for day,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-NN
08hjr00OO,HJR OO of 2008,NA,NA,2007-2008,HJR,Criminal procedure,bail,"Criminal procedure; bail; individual charged with a felony who has entered or remained in United States illegally; prohibit granting bail. Amends sec. 15, art. I of the state constitution.Last Action: printed joint resolution filed 02/13/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-OO
