doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
22hb5825,HB 5825 of 2022,NA,NA,2021-2022,HB,Labor,fair employment practices,Labor: fair employment practices; employer monitoring of employee communications; prohibit unless the employer establishes an employee monitoring policy and discloses that policy to employees. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5825,FALSE
22hb5826,HB 5826 of 2022,NA,NA,2021-2022,HB,Labor,fair employment practices,Labor: fair employment practices; worker freedom act; create. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5826,FALSE
22hb5827,HB 5827 of 2022,NA,NA,2021-2022,HB,Labor,fair employment practices,Labor: fair employment practices; use of credit history in the hiring process; prohibit. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5827,FALSE
22hb5828,HB 5828 of 2022,NA,NA,2021-2022,HB,Labor,fair employment practices,Labor: fair employment practices; certain physical characteristics of employees; prohibit employers from discriminating based on. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5828,FALSE
22hb5829,HB 5829 of 2022,NA,NA,2021-2022,HB,Labor,fair employment practices,Labor: fair employment practices; employment decisions based on the health or illness of an employee's family member; prohibit. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5829,FALSE
22hb5830,HB 5830 of 2022,NA,NA,2021-2022,HB,Labor,fair employment practices,Labor: fair employment practices; employees who perform certain lawful activities during nonworking hours; prohibit employers from discriminating against. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5830,FALSE
22hb5831,HB 5831 of 2022,NA,NA,2021-2022,HB,Labor,other,Labor: other; cause for termination of employment; require. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5831,FALSE
22hb5832,HB 5832 of 2022,NA,NA,2021-2022,HB,Legislature,committees,Legislature: committees; school and local government financing commission; create. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5832,FALSE
22hb5833,HB 5833 of 2022,NA,NA,2021-2022,HB,Retirement,state employees,Retirement: state employees; election process to transfer a conservation officer to the Michigan state police retirement system; provide for. Amends sec. 55 of 1943 PA 240 (MCL 38.55) & adds secs. 50b & 64a.  TIE BAR WITH: HB 5834'22Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5833,FALSE
22hb5834,HB 5834 of 2022,NA,NA,2021-2022,HB,Retirement,state police,"Retirement: state police; membership in the retirement system of a conservation officer first hired after certain date; provide for, and allow for purchasing service credit for certain conservation officers' service under the state employees' retirement system. Amends sec. 4 of 1986 PA 182 (MCL 38.1604) & adds sec. 24c.  TIE BAR WITH: HB 5833'22Last Action: bill electronically reproduced 02/23/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5834,FALSE
22hb5835,HB 5835 of 2022,NA,NA,2021-2022,HB,Labor,other,Labor: other; registry of employers who relocate a call center to a foreign country; require the department of labor and economic opportunity to create. Creates new act.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5835,FALSE
22hb5836,HB 5836 of 2022,NA,NA,2021-2022,HB,State financing and management,other,State financing and management: other; denial of certain state economic development incentives for businesses listed on the registry; provide for. Amends 1984 PA 270 (MCL 125.2001 - 125.2094) by adding sec. 15.  TIE BAR WITH: HB 5835'22Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5836,FALSE
